hotel_name,hotel_rating,cuisine,price,distance,location
Mikey's Place,4.5,"Continental, North Indian, Goan, Seafood, Salad, Desserts","₹1,200 for two",6.3 km," Candolim, Goa"
The Southern Deck,4.3,"Seafood, Goan, Continental, Fast Food, Asian, Thai, North Indian",₹950 for two,28.4 km," Benaulim, Goa"
Hammerzz,3.7,"Chinese, Pasta, Wraps","₹5,000 for two",11.1 km," Baga, Goa"
Mamalouka - Beach Bar And Bistro,4.2,"Goan, Pizza, Italian, Bar Food, Desserts","₹1,200 for two",12.7 km," Anjuna, Goa"
Boho Restaurant & Bar,3.6,"North Indian, Chinese, Seafood, Fast Food, Sichuan, Beverages",₹950 for two,14.2 km," Vagator, Goa"
Leherein Restaurant & Bar,4.2,"North Indian, Continental, Italian, Chinese, Fast Food, Desserts, Beverages","₹1,400 for two",12.3 km," Anjuna, Goa"
Titlie,4.0,"Continental, Seafood, North Indian, Pizza, Italian, Beverages","₹2,000 for two",14.6 km," Vagator, Goa"
Kefi-Cafe And Bistro,4.3,"Middle Eastern, Arabian",₹500 for two,11.9 km," Assagao, Goa"
Palms N Sands,4.4,"Continental, Seafood, Goan, North Indian, Chinese, Fast Food, Desserts, Beverages","₹1,200 for two",6.5 km," Candolim Beach, Candolim, Goa"
Makani On The Beach,3.8,"Continental, Mexican, Goan, Seafood, Desserts, Beverages","₹1,700 for two",12.4 km," Anjuna, Goa"
Tkyo,4.4,"Asian, Japanese, Thai, Chinese, Seafood, Momos, Sushi, Beverages","₹1,400 for two",12.2 km," Anjuna, Goa"
Seshh,4.3,"Seafood, Asian, Continental, Italian, Mexican, Chinese, North Indian, Desserts","₹1,700 for two",13.4 km," Bardez, Goa"
The Fisherman's Wharf,4.5,"Seafood, Goan, North Indian, Mughlai, Chinese, Continental, Desserts","₹1,300 for two",7.9 km," Calangute, Goa"
McDonald's,3.9,"Burger, Fast Food",₹500 for two,3 km," Mall De Goa, Penha De Franca, Goa"
WOW! Momo,4.0,"Beverages, Fast Food, Momos, Tibetan",₹400 for two,10.5 km," Mapusa, Goa"
Las Olas,4.1,"Continental, Asian, Chinese, North Indian, Italian, Sandwich, Salad, Beverages","₹2,000 for two",10.5 km," Baga, Goa"
Tereza Beach House-By Sly Granny,4.3,"Continental, Pizza, Italian, Goan, Fast Food, Salad, Desserts","₹1,900 for two",3.8 km," Nerul, Goa"
"Uptown- Multi Cuisine Restaurant, Pub & Sports Bar",4.1,"North Indian, Chinese, Goan, Continental, Desserts, Beverages","₹1,300 for two",6.8 km," Candolim, Goa"
Eva Cafe,4.3,"Sandwich, Fast Food",₹950 for two,13.2 km," Anjuna, Goa"
The Bodhi Tree Cafe And Bar,4.1,"North Indian, Chinese, Seafood, Fast Food, Goan, Beverages, Sichuan",₹500 for two,16.4 km," Morjim, Goa"
Club Cubana,4.3,Finger Food,"₹3,000 for two",10.7 km," Anjuna, Goa"
Kourm Soulful Kebabs & Curries,4.2,"North Indian, Kebab, Biryani, Seafood, Mughlai",₹950 for two,12.4 km," Anjuna, Goa"
Tito's Restaurant,3.9,"Goan, North Indian, Mughlai, Seafood, Chinese, Sushi, Pasta","₹1,800 for two",10.3 km," Baga, Goa"
Artjuna,3.8,"Cafe, Mediterranean, Italian, Seafood, Fast Food, Desserts, Beverages",₹950 for two,12.6 km," Anjuna, Goa"
Bacchus Bar & Kitchen,4.1,"Cafe, Continental, Fast Food, Bakery, Pasta, Coffee, Beverages, Shake",₹850 for two,13.4 km," Anjuna, Goa"
Beno,4.5,"Continental, Bar Food, European, Fast Food, Street Food, Healthy Food, Desserts, Beverages","₹1,100 for two",29.8 km," Benaulim, Goa"
Fiza Biryani,3.7,"Biryani, North Indian, Shawarma, Chinese",₹500 for two,2.5 km," Panaji, Goa"
Raasta Goa,3.9,"Bar Food, Continental, Italian, Asian, Pizza, Shake, Beverages, Desserts","₹1,500 for two",14.3 km," Vagator, Goa"
Chef Slicy's,3.9,"Goan, Fast Food",₹400 for two,28.1 km," Margao, Goa"
Cohiba,4.1,"Finger Food, Continental, Bar Food, Goan, Italian, Seafood, North Indian, Desserts","₹1,800 for two",5.6 km," Candolim, Goa"
Baba Au Rhum,4.4,"Cafe, Coffee, Italian, Mediterranean, Salad, Pizza, Fast Food, Beverages","₹1,200 for two",11.6 km," Baga, Goa"
Felix,4.4,"American, Cafe, Burger, Bar Food, BBQ, Salad, Beverages","₹2,000 for two",12.5 km," Anjuna, Goa"
Pisco By The Beach,4.0,"Seafood, Italian, Steak","₹2,000 for two",12.3 km," Anjuna, Goa"
Jamun,4.7,"North Indian, South Indian, Goan, Seafood, Biryani, Parsi, Desserts","₹1,800 for two",12.5 km," Assagao, Goa"
Urban Nawab,4.3,"North Indian, Mughlai, Biryani, Desserts",₹950 for two,14.2 km," Vagator, Goa"
Calamari Bathe & Binge,4.4,"Goan, Chinese, North Indian, Continental, Seafood, Italian, Desserts, Beverages","₹1,800 for two",6.6 km," Candolim, Goa"
Britto's Restaurant & Bar,4.4,"North Indian, Goan, Italian, Seafood, Desserts, Beverages","₹1,700 for two",10.9 km," Baga, Goa"
Pet Pooja Pure Veg Restaurant,4.4,"North Indian, Gujarati, Street Food, Shake, Beverages",₹700 for two,14.2 km," Vagator, Goa"
SinQ Nightclub,4.0,Finger Food,"₹2,000 for two",6 km," Candolim, Goa"
Fat Fish,4.0,"Goan, Seafood, Continental, North Indian, Italian, Beverages, Desserts","₹1,800 for two",9.4 km," Baga, Goa"
Gunpowder,4.7,"Finger Food, South Indian, Seafood, Desserts","₹1,700 for two",11.7 km," Assagao, Goa"
Saké - The Asian Lounge,3.9,"Asian, Sushi, Japanese, Cantonese, Desserts","₹2,500 for two",11.8 km," Assagao, Goa"
Bay 15,4.4,"Italian, Goan, Continental, North Indian, Chinese, Salad","₹1,800 for two",5 km," Panaji, Goa"
The Market - Westin Goa,4.2,"Asian, Continental, North Indian, Biryani, Goan, Desserts","₹2,400 for two",13.5 km," Anjuna, Goa"
Yazu - Pan Asian Beach Club,4.2,"Asian, Chinese, Sushi, Japanese, Desserts","₹1,900 for two",6.5 km," Candolim, Goa"
Dubki - Dawn & Dusk Bar,4.1,"Continental, Seafood, Asian, Fast Food, Desserts","₹1,500 for two",14.5 km," Vagator, Goa"
Casa Playa,4.4,"Continental, Goan, Italian, North Indian, Chinese, Salad, Ice Cream, Desserts","₹1,800 for two",14.6 km," Anjuna, Goa"
Moshi Moshi,4.0,"Asian, Japanese, Chinese, Thai, Sushi, Beverages","₹1,500 for two",11.9 km," Assagao, Goa"
Underdoggs,3.8,"North Indian, Asian, Mexican, Continental, Fast Food, Beverages","₹2,500 for two",14.2 km," Vagator, Goa"
Ice Creamy,3.9,"Ice Cream, Waffle, Panini, Desserts, Beverages",₹350 for two,27.5 km," Margao, Goa"
Burger Factory,4.5,"Burger, Fast Food, Shake, Beverages","₹1,200 for two",13.2 km," Anjuna, Goa"
The Singh Family Bar & Restaurant,4.0,"North Indian, Italian, Continental, Mexican, Goan, Seafood, Beverages, Desserts","₹1,200 for two",57.8 km," Palolem, Goa"
Felix Beach,4.1,"Seafood, American, European, Pizza, Continental","₹1,200 for two",17.2 km," Morjim, Goa"
South Delhi,3.9,"Juices, Beverages, Biryani, Chinese, North Indian, Seafood, Street Food","₹1,100 for two",14.2 km," Vagator, Goa"
De Baga Deck,4.3,"Goan, Biryani, North Indian, Italian, Chinese, Salad, Seafood, Desserts","₹1,000 for two",9.6 km," Calangute, Goa"
Soro- The Village Pub,4.3,"Finger Food, Continental, Italian, Goan, Seafood","₹1,600 for two",13.4 km," Assagao, Goa"
Martin's Corner,4.4,"North Indian, Chinese, Goan, Sandwich, Salad, Beverages","₹1,800 for two",23.6 km," Betalbatim, Goa"
The Lazy Goose,4.7,"Goan, Continental, Seafood, Fast Food","₹1,800 for two",5.2 km," Nerul, Goa"
Glory,4.2,"Pizza, Continental, Italian, Desserts, Beverages","₹2,000 for two",14.5 km," Vagator, Goa"
Navtara Veg Restaurant,3.9,"South Indian, North Indian, Goan, Chinese, Street Food, Fast Food, Pizza, Desserts",₹700 for two,9.2 km," Calangute, Goa"
Sea Pebbles,4.3,"Goan, North Indian, Mughlai, Chinese, Biryani, Beverages","₹1,400 for two",5.8 km," Panaji, Goa"
Toro Toro,4.7,"Asian, Italian, Goan, Seafood, Continental, Beverages, Desserts","₹1,800 for two",11.2 km," Baga, Goa"
The Goan Oven Bakery & Cafe,3.9,"Bakery, Pizza, Sandwich, Desserts",₹800 for two,12.6 km," Vasco, Goa"
Biryani By Kilo,4.1,"Biryani, Hyderabadi, North Indian, Kebab, Mughlai, Desserts","₹1,200 for two",2.4 km," Panaji, Goa"
The Cape Goa,4.6,"North Indian, Mughlai, Continental, Fast Food, Goan, Seafood, Desserts, Beverages","₹1,200 for two",41.2 km," Agonda, Goa"
Fish Deck,3.1,"North Indian, Chinese, Goan, Seafood, Mughlai, Continental, Desserts, Beverages",₹700 for two,10.1 km," Calangute, Goa"
La Cucina,4.5,"Italian, Pasta, Pizza, Chinese, Beverages","₹1,500 for two",19.3 km," Morjim, Goa"
Cota Cozinha,4.6,"Bar Food, Goan, Seafood, Chinese, Salad, North Indian, Mughlai, Beverages","₹1,000 for two",24.5 km," Betalbatim, Goa"
Cantare,4.2,"Mexican, American, Italian, Seafood, Goan, Thai",₹950 for two,6.4 km," Calangute, Goa"
Sukkha - The Indian Platter,4.3,"North Indian, Seafood, Biryani, Kebab, Mughlai, Rolls, Desserts","₹1,800 for two",12.5 km," Assagao, Goa"
Lush By The Cliff,4.3,"North Indian, Chinese, Goan, Continental, Salad, Seafood, Italian, Fast Food",₹950 for two,13.5 km," Anjuna, Goa"
Nova Kitchen & Bar,3.9,"Finger Food, Seafood, Goan, North Indian, Chinese, Sichuan, Beverages","₹1,200 for two",6.1 km," Candolim, Goa"
Babka,4.0,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Fast Food, Bakery",₹850 for two,12.1 km," Anjuna, Goa"
Mojigao,4.1,"Cafe, Mediterranean, Middle Eastern, Fast Food, Beverages",₹950 for two,12.3 km," Assagao, Goa"
Blue Turtle Beach Bar & Restaurant,4.4,"Continental, Pizza, Burger, Goan, Seafood, Salad, Desserts","₹2,000 for two",18.7 km," Morjim, Goa"
Pure Punjabbi Family Restaurant Bar,3.9,"North Indian, Chinese, Mughlai, Biryani, Seafood, Sichuan, Beverages",₹850 for two,9.2 km," Calangute, Goa"
Pousada By The Beach,4.7,"Continental, Goan, Desserts, Beverages","₹3,500 for two",8.5 km," Calangute Beach, Calangute, Goa"
Jukebox Beach Cafe,4.2,"Goan, Pizza, Seafood","₹1,000 for two",8.1 km," Calangute Beach, Calangute, Goa"
The Outpost By Sly Granny,4.1,"Burger, American","₹1,400 for two",623 m," Panaji, Goa"
Tesouro,4.4,"Salad, Italian, Continental, Beverages","₹1,300 for two",27.6 km," Colva, Goa"
Kung Fook,4.2,"Chinese, Asian, Sushi, Desserts",₹850 for two,13.2 km," Anjuna, Goa"
Qlay Mediterranean Kitchen Grill And Bar,4.4,"Mediterranean, Italian, Pizza, Salad","₹2,000 for two",13.7 km," Assagao, Goa"
Vinayak Family Restaurant,4.4,"Goan, North Indian, Kebab, Chinese, Seafood, Biryani, Salad, Beverages","₹1,100 for two",12.4 km," Bardez, Goa"
The Black Sheep Bistro,4.9,"Continental, European, Thai, Desserts, Beverages","₹1,800 for two",2.1 km," Panaji, Goa"
Half Pint,3.9,"Bar Food, Continental, Italian, Seafood","₹2,100 for two",14.2 km," Vagator, Goa"
Aviary Beach Bar,-,"Goan, North Indian, South Indian, Asian, Italian, Chinese, Biryani, Desserts","₹2,000 for two",14.5 km," Vagator, Goa"
The Great Bath Cafe,4.1,"North Indian, Mughlai, Goan, Seafood, Desserts","₹1,400 for two",14 km," Vagator, Goa"
Thyme & Ash,3.9,"Continental, Beverages, Desserts","₹3,500 for two",13.5 km," Anjuna, Goa"
Cafe Lilliput,3.9,"Continental, North Indian, Seafood, Steak, Italian, Chinese, Beverages, Desserts","₹1,700 for two",12.6 km," Anjuna Beach, Anjuna, Goa"
Lollo Rosso,4.6,"Finger Food, Continental, Japanese, Burmese, Desserts, Beverages","₹1,800 for two",11.6 km," Anjuna, Goa"
Wok & Pan,4.3,"Chinese, Sichuan, Seafood",₹950 for two,14.2 km," Vagator, Goa"
Kokni Kanteen,4.5,"Goan, North Indian, Seafood, Beverages",₹850 for two,263 m," Panaji, Goa"
Da Tita By Magic Italy,4.4,"Italian, Pizza, Fast Food, Desserts",₹950 for two,23.6 km," Majorda, Goa"
Avo's Kitchen,4.5,"Goan, Seafood, North Indian, Street Food, Fast Food, Desserts","₹1,400 for two",11.7 km," Assagao, Goa"
Neighbors,4.2,"Cafe, European, Burger, Seafood, Bakery, Healthy Food, Desserts, Beverages","₹1,200 for two",12.5 km," Assagao, Goa"
Paz Goa,4.5,"Cafe, Continental, Fast Food, Coffee, Shake, Beverages, Desserts","₹1,000 for two",14.9 km," Vagator, Goa"
Kalliste,4.2,"Spanish, Greek, Bar Food, Italian, Mediterranean","₹1,500 for two",25.6 km," Colva, Goa"
Kismoor Sangolda,4.5,"Asian, Italian, Goan, Oriental, Desserts, Beverages","₹1,400 for two",5.3 km," Penha de Franca, Goa"
Olive Bar & Kitchen,4.3,"Mediterranean, Italian, Bar Food, Fast Food, Beverages, Desserts","₹3,000 for two",15 km," Vagator, Goa"
Thalassa Beach,3.9,"Greek, Mediterranean, Seafood, Bar Food, Goan, Beverages","₹2,500 for two",19.6 km," Ashwem, Goa"
Shivers Garden Restaurant,4.4,"Thai, Japanese, Asian, Beverages, Chinese, Continental, Desserts, North Indian","₹2,000 for two",6 km," Candolim, Goa"
Cape Town Cafe,4.2,"Steak, Italian, Goan, Continental, North Indian, Seafood","₹1,200 for two",10.2 km," Baga, Goa"
Miss Margarita,3.9,"Mexican, Bar Food, Beverages","₹2,000 for two",14.1 km," Vagator, Goa"
Big Fat Sandwich & Pizza,3.9,"Cafe, American, Sandwich, Fast Food, Italian, Beverages, Coffee","₹1,200 for two",11.7 km," Anjuna, Goa"
Howling Wolves,4.1,"Continental, North Indian, Asian, Italian, Salad, Sandwich, Burger, Desserts","₹1,200 for two",13.1 km," Anjuna, Goa"
Gin Mill,3.9,"BBQ, American, Continental, Chinese, Fast Food","₹1,800 for two",14.7 km," Vagator, Goa"
Kofuku,4.1,"Japanese, Korean, Asian, Goan, Salad, Sushi, Desserts","₹2,500 for two",8.9 km," Mapusa, Goa"
Maka Zai,4.9,"Goan, Asian, Chinese, Seafood, Beverages","₹1,700 for two",12.7 km," Anjuna, Goa"
Cavatina,4.8,"Italian, Steak, Goan, Continental, Salad, Mexican","₹2,500 for two",30.4 km," Benaulim, Goa"
Ziggy's By Fame,4.4,"Goan, Italian, Oriental, North Indian, Desserts",₹950 for two,23.2 km," Majorda, Goa"
New Bajarangi Family Restaurant & Bar,3.4,"Chinese, Biryani, North Indian, Mughlai, Beverages, Kebab, Sichuan",₹600 for two,10.4 km," Bardez, Goa"
Zest Café & Kitchen - Holiday Inn,4.5,"North Indian, Goan, Chinese, Seafood, Oriental, Salad, Desserts, Beverages","₹2,100 for two",39.9 km," Holiday Inn Resort, Salcette, Goa"
Wok & Roll,4.8,"Oriental, Thai, Chinese, Asian, Desserts","₹1,200 for two",5.5 km," Candolim, Goa"
Slow Tide,3.9,"Seafood, Konkan, Beverages","₹3,000 for two",12.4 km," Anjuna, Goa"
Mama Miso,4.1,"Asian, Chinese, Sushi, Seafood, Desserts","₹1,000 for two",19.6 km," Majorda, Goa"
The Red Ginger,4.4,"Asian, Chinese, Thai, Japanese, Desserts","₹1,600 for two",26.4 km," Colva, Goa"
Sao By The Shore,3.9,"Salad, European, Seafood, Continental, Portuguese, Beverages","₹1,600 for two",19.7 km," Ashwem, Goa"
Locura,4.5,"Spanish, Mexican, Mediterranean, Continental, Desserts","₹1,200 for two",13.1 km," Anjuna, Goa"
Izumi Assagao,4.1,"Japanese, Sushi","₹2,500 for two",11.8 km," Assagao, Goa"
AJ's,4.3,"Fast Food, Continental, American, Italian, Burger, Pizza",₹500 for two,27.6 km," Margao, Goa"
TBH - The Burger House,4.4,"Burger, Bar Food, Continental, Italian, Sandwich, Salad, Beverages","₹1,200 for two",12.8 km," Anjuna, Goa"
Aunty Maria - Fidalgo,3.3,"Cafe, American, Salad, Desserts, Beverages",₹950 for two,359 m," Fidalgo, Panaji, Goa"
Mademoiselle Boutique Hotel & Cafe,3.9,"Cafe, Coffee, Sandwich, American, Tea, Desserts, Shake, Beverages",₹800 for two,13.2 km," Assagao, Goa"
Juju,3.9,"South Indian, North Indian, Kerala, Goan, Desserts, Biryani","₹1,500 for two",25.4 km," Colva, Goa"
Anand Bar Seafood Restaurant,4.4,"North Indian, Goan, Chinese, Biryani, Seafood",₹950 for two,12.9 km," Anjuna, Goa"
Yeti - The Himalayan Kitchen,3.9,"Tibetan, Nepalese, Momos, Chinese, Beverages, Assamese","₹1,300 for two",14.2 km," Vagator, Goa"
The Mango Tree,4.0,"Continental, North Indian, Chinese, Fast Food, Italian, Finger Food, Beverages","₹1,600 for two",14.6 km," Vagator, Goa"
The Olive Room,4.1,"North Indian, Mughlai, Mexican, Continental, Italian, Chinese, Desserts, Beverages",₹950 for two,58 km," Palolem, Goa"
Tiamo Gelato,3.9,"Ice Cream, Shake",₹300 for two,11.7 km," Anjuna, Goa"
Mahe - Modern Coastal Cuisine,4.1,"Seafood, Goan, Mangalorean, Desserts","₹1,700 for two",12.2 km," Anjuna, Goa"
Soho,3.8,"North Indian, Continental, Chinese, Italian, Mughlai, Biryani","₹1,800 for two",624 m," Panaji, Goa"
O'Aido By Om Rose Garden,4.5,"North Indian, Italian, Seafood, Continental, Goan, Desserts","₹1,400 for two",12.6 km," Anjuna, Goa"
Jamming Goat,4.5,"North Indian, Continental, Goan, Fast Food, Desserts","₹1,400 for two",21.3 km," Majorda, Goa"
Colina,4.3,"Goan, Pizza, Fast Food, Chinese, Beverages","₹1,200 for two",14.6 km," Assagao, Goa"
The Goan Room,4.4,"Goan, Seafood, North Indian, Chinese, Continental, Biryani, Desserts, Beverages","₹1,200 for two",5.4 km," Panaji, Goa"
White Plate By Chef Jason,3.9,"French, Italian, American, Desserts","₹2,500 for two",7 km," Candolim, Goa"
Bean Me Up,4.5,"Continental, Asian, Fast Food, Healthy Food, Mexican, Salad, Desserts, Beverages","₹1,400 for two",13.8 km," Vagator, Goa"
Alcoves Restaurant & Bar,3.5,"North Indian, Chinese, Goan",₹500 for two,29.4 km," Aquem, Goa"
Fisherman's Cove,3.6,"Goan, North Indian, Chinese, Continental, Mughlai, Italian, Salad","₹1,400 for two",6.7 km," Candolim, Goa"
Bomras,4.1,"Finger Food, Goan, Desserts","₹1,900 for two",12.3 km," Anjuna, Goa"
Padaria Prazeres,4.8,"Bakery, Desserts",₹600 for two,3.4 km," Panaji, Goa"
Square Sparrow,4.4,"North Indian, Italian, Continental, Asian","₹1,300 for two",12.9 km," Anjuna, Goa"
Garden of Dreams,-,"Cafe, Coffee, Tea, Sandwich, Fast Food, Healthy Food, Salad, Desserts","₹1,000 for two",34.1 km," Arambol, Goa"
Hosa,4.0,"Goan, South Indian, Seafood, Continental, Finger Food, Tea, Coffee, Desserts","₹2,000 for two",14.3 km," Siolim, Goa"
Mamagoto,4.5,"Asian, Chinese, Thai, Sushi, Japanese, Desserts","₹1,300 for two",393 m," Panaji, Goa"
Pizza Hut,4.0,"Italian, Pizza, Pasta, Beverages",₹600 for two,27.5 km," Margao, Goa"
Tamil Table,3.8,"South Indian, Chettinad, Seafood","₹1,500 for two",12.5 km," Assagao, Goa"
Nanbai,3.7,"Bakery, Fast Food, Desserts, Beverages",₹350 for two,2.3 km," Panaji, Goa"
Caravela Cafe And Bistro,4.6,"Cafe, Goan, Continental, Healthy Food, Italian, Fast Food, Beverages, Desserts",₹950 for two,7.1 km," Candolim, Goa"
Roboto,3.9,"Japanese, Korean, Asian, Bar Food, Desserts","₹1,200 for two",12.4 km," Anjuna, Goa"
Sam's Beach Shack,3.4,"Seafood, Goan, North Indian, Chinese, Sandwich, Burger, Beverages","₹1,000 for two",10.3 km," Baga, Goa"
Seven Rivers Brewing Co.,3.9,European,"₹1,900 for two",6.1 km," Taj Holiday Village Resort & Spa, Candolim, Goa"
Tree Top Tava,4.4,"Continental, North Indian, Goan, Mughlai, Chinese, Fast Food, Desserts, Beverages","₹1,200 for two",52.2 km," Agonda, Goa"
Mickey's,4.4,"Goan, Chinese, North Indian, Continental, Steak, Seafood, Desserts","₹1,700 for two",25.1 km," Colva, Goa"
Elephant Beach Cafe,3.7,"Continental, Sandwich, Healthy Food, Desserts, Beverages",₹950 for two,12.6 km," Anjuna, Goa"
Tataki Immersive Asian Dining,4.3,"Asian, Japanese, Thai, Sushi, Sichuan, Salad, Desserts, Beverages","₹2,000 for two",596 m," Panaji, Goa"
SOPÓ,3.9,"Burmese, Desserts, Asian","₹1,400 for two",11.9 km," Assagao, Goa"
Goodfellas Italian Restaurant,4.3,"Italian, Pizza",₹950 for two,28.6 km," Benaulim, Goa"
KFC,4.5,"Burger, Fast Food, Biryani, Desserts, Beverages",₹450 for two,3 km," Mall De Goa, Penha De Franca, Goa"
Mr. Gelato - Cream Choc,4.8,"Ice Cream, Desserts, Frozen Yogurt, Waffle",₹450 for two,12.3 km," Anjuna, Goa"
Souza Lobo,4.4,"Finger Food, Seafood, North Indian, Fast Food, Chinese, Desserts","₹1,800 for two",9.2 km," Calangute Beach, Calangute, Goa"
Bardo,3.9,"North Indian, Biryani, Italian, Japanese, Salad, Sushi, Shake, Beverages","₹1,400 for two",12.4 km," Anjuna, Goa"
The Crush Coffee,-,"Cafe, Coffee, Juices, Shake, Healthy Food, Street Food, Sandwich, Fast Food",₹650 for two,7.9 km," Calangute, Goa"
Jambalaya Bar & Restaurant,4.3,"North Indian, Salad, Continental, Seafood, Goan, Chinese, Desserts, Bar Food","₹1,200 for two",6.7 km," Candolim, Goa"
Kasa 'N' Koox,3.9,"Japanese, Seafood","₹2,500 for two",14.8 km," Vagator, Goa"
Petisco Goa,4.6,Continental,"₹1,400 for two",119 m," Panaji, Goa"
Gshot Coffee Roastery & Cafe,4.1,"Cafe, Healthy Food, Bakery, Pizza, Desserts, Juices, Coffee, Sandwich","₹1,300 for two",12.6 km," Assagao, Goa"
Mystras,4.4,"Salad, Asian, Arabian, Italian, Seafood, Continental, Fast Food","₹1,700 for two",12.3 km," Assagao, Goa"
Spice Mantraa,4.3,"Goan, North Indian, Biryani, Desserts, Beverages","₹1,400 for two",7.3 km," Candolim, Goa"
Artistry,-,"Goan, Bar Food, Continental, Pizza, Desserts, Beverages","₹2,000 for two",13.6 km," Vagator, Goa"
Broadway Cafe & Bakers,3.9,"Bakery, Fast Food, Street Food, Sandwich, Beverages, Desserts",₹400 for two,8 km," Calangute, Goa"
Lucknow Mail,-,"Awadhi, North Indian, Rolls",₹400 for two,14.2 km," Anjuna, Goa"
Bombil Restaurant,4.7,"Goan, Seafood",₹500 for two,1.1 km," Panaji, Goa"
Peep Kitchen,4.6,"Goan, Seafood, North Indian, Biryani, Oriental, Beverages","₹1,100 for two",3.2 km," Panaji, Goa"
C'Roque Resort,4.3,"North Indian, Chinese, Asian, Goan, Continental, Pizza, Sandwich, Desserts","₹1,100 for two",27.8 km," Colva, Goa"
Mimi's,4.0,"Continental, Goan, Healthy Food, Fast Food, Coffee, Beverages",₹850 for two,18.9 km," Morjim, Goa"
Sheetal Dhaba,3.8,"North Indian, Chinese, Fast Food, Street Food, Beverages",₹400 for two,4.8 km," Nerul, Goa"
Terttulia,-,"Pizza, Italian, Continental, Bar Food, Desserts","₹2,000 for two",2.2 km," Panaji, Goa"
The Krunch Story,3.9,"Cafe, Continental, Fast Food, Burger, Sandwich, Beverages, Shake",₹700 for two,574 m," Panaji, Goa"
Copperleaf,4.2,"Goan, North Indian, Mughlai, Chinese, Seafood, Biryani, Sichuan",₹700 for two,2 km," Panaji, Goa"
Leopard Valley,3.6,Finger Food,"₹2,500 for two",55.3 km," Palolem, Goa"
Velvet Lounge & Cocktail Bar,3.9,"Goan, North Indian, Chinese, Seafood, Italian, Continental, Fast Food, Desserts","₹1,600 for two",14.4 km," Vagator, Goa"
Cafe Hyderabad,3.6,"South Indian, Chinese, North Indian, Street Food, Biryani, Fast Food",₹350 for two,11.9 km," Anjuna, Goa"
Baga Resto Bar,3.8,"North Indian, Continental, Seafood, Goan, Chinese, Beverages, Kebab, Desserts","₹1,100 for two",10.4 km," Baga Beach, Baga, Goa"
Rose - Mediterranean Restaurant & Wine Bar,3.9,"Mediterranean, Pizza, Italian, Continental, Salad, Desserts","₹2,200 for two",13.2 km," Assagao, Goa"
