hotel_name,hotel_rating,cuisine,price,distance,location
Purple Martini,4.4,"Continental, Goan, Fast Food, Chinese, North Indian, Beverages, Ice Cream","₹3,000 for two",13.5 km," Anjuna Beach, Anjuna, Goa"
Tomato's Beachside Kitchen And Bar,4.4,"North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts","₹1,800 for two",7.2 km," Candolim Beach, Candolim, Goa"
Thalassa,4.4,"Greek, Mediterranean, Seafood, Fast Food, Bar Food, Goan, Beverages","₹2,500 for two",15.2 km," Siolim, Goa"
Tomato's Garden Kitchen And Bar,4.4,"Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages","₹2,000 for two",6.8 km," Candolim, Goa"
Romeo Lane,3.9,"Finger Food, Italian, Lebanese, North Indian","₹1,800 for two",14.5 km," Vagator, Goa"
Ivoryy By The Cliff,4.0,"Mediterranean, Italian, Asian, Chinese, Goan, Lebanese, Desserts","₹1,500 for two",14.7 km," Vagator, Goa"
Mayan Beach Club,New,"Continental, Italian, Bar Food","₹2,000 for two",13.3 km," Anjuna, Goa"
RocoMamas,4.4,"American, Burger, Fast Food, Pizza, Beverages, Shake","₹1,400 for two",7.7 km," Calangute, Goa"
Antares Restaurant & Beach Club,4.2,"Goan, Italian, Desserts, Beverages","₹2,500 for two",14.5 km," Vagator, Goa"
Saz On The Beach,3.9,"Continental, Italian, Fast Food, Salad","₹1,400 for two",19.1 km," Morjim, Goa"
Ziki,4.4,"Sushi, Asian, Italian, North Indian, Seafood","₹1,000 for two",13.2 km," Anjuna, Goa"
Angry Sardar Courtyard,4.2,"Mughlai, North Indian, Biryani, Chinese, Desserts, Beverages","₹1,500 for two",12.8 km," Anjuna, Goa"
Cafe Cotinga,4.5,"Goan, North Indian, Mughlai, Biryani, Italian, Fast Food, Desserts, Beverages","₹1,800 for two",12.1 km," Anjuna, Goa"
Elephant & Co.,4.6,"Continental, Asian, Italian, Bar Food, Beverages, Desserts","₹1,500 for two",11.9 km," Anjuna, Goa"
Ginnis Biggie Burger,4.0,"Burger, Wraps, American, Fast Food",₹850 for two,12.5 km," Vagator, Goa"
Salt Bar And Restaurant,4.5,"North Indian, Biryani, Chinese, Continental, Italian, Goan, Beverages, Desserts","₹1,500 for two",10.5 km," Baga, Goa"
Maai - Inspired Food,4.2,"Goan, Burger, Sandwich, Lebanese","₹1,700 for two",11.8 km," Assagao, Goa"
"Istaka - Bar, Bites & Bowls",4.2,"Chinese, Continental, Pizza, Thai, American, South American, Beverages","₹2,000 for two",14 km," Vagator, Goa"
Vaddo 15,4.2,"Continental, North Indian, Chinese, Goan, Pizza, Salad, Biryani, Beverages","₹1,000 for two",6.8 km," Candolim, Goa"
OCCO,4.4,"Lebanese, Continental, Pizza, Italian, Seafood, Desserts","₹2,000 for two",14.5 km," Vagator, Goa"
Raeeth,3.9,"Goan, Continental, BBQ, Pizza, Italian, Desserts, Seafood","₹1,800 for two",14.5 km," Vagator, Goa"
