Name,OpenTime,Cost,https://www.holidify.com/collections/amusement-parks-in-goa
Splashdown Water Park,10:30 AM - 6:00 PM,"Adult (height of above 48 inches)- INR 990, Child (height of below 48 inches)- INR 763, Senior Citizen (age above 60 years)- INR 585, Children Under 2 Years of Age- No Entry Fee, Monday-Friday after 3:00 PM - INR 649 Thursday Splash N Play (9:00 AM to 10:30 AM)- INR 325",
Froggyland,"10:00 AM - 6:00 PM, Closed on Monday","Adult (height of above 4 feet)- INR 500, Child (height of below 4 feet)- INR 350, Spectator (not using the pool)- INR 300",
6 Shades Of Nature,24 hrs,,
Blue Whale Water Park,9:00 AM - 7:00 PM,INR 300,
Monsoon Fun Park,10:00 AM - 6:00 PM,,
Goa Kart Racing,9:30 AM to 12:00 PM and 4 PM to 9:00 PM,,
Nagesh Eco Ventures,9:30 AM - 5:30 PM,INR 350,
