,name,price,couple-friendly,location,description
0,Laliguras Villa| Rooms & Restaurant,"₹ 1,598",NO,Candolim | 4-5 minutes walk from Candolim Beach,"This 3 Star Villa in Goa is located in Candolim. Full Address of property is Lali Guras Villa, House No. 556-D , Murod Vaddo, Candolim , Beach Road, Bardez Goa View On Map This Villa have 4.2 Out of 5 Rating where  4.5/5 for Host responsiveness &  4.4/5 for Location &  4.3/5 for Cleanliness . Key amenities of this property are Caretaker & Free Wi-Fi & Restaurant. "
1,AYAN VILLAS GOA,"₹ 12,957",YES,Siolim,"Location of the Villa is Siolim View On Map (Siolim Marna, Bardez Goa). It’s a 5 Star Villa with overall Rating 4.0 Out of 5 where  4.0/5 for Location &  4.0/5 for Amenities &  4.0/5 for Cleanliness . Top Facilities of this Villa are Kitchenette & Caretaker & Living Room. "
2,Ocean Suite Boutique | Rooms in a Villa,"₹ 2,161",NO,Panjim,"This 3 Star Villa in Goa is located in Panjim. Full Address of property is  Chhabra House ,Nagalli hills, Bella Vista, Dona Paula. Goa 403004 View On Map This Villa have 3.8 Out of 5 Rating where  4.4/5 for Washroom cleanliness &  4.1/5 for Hospitality &  4.1/5 for Room . [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. Key amenities of this property are Caretaker & Living Room & Power Backup. "
3,Orabella Villas & Suites | Caretaker & Restaurant,"₹ 4,138",YES,Calangute | 2-3 minutes walk from Calangute Beach,"Location of the Villa is Calangute View On Map (House no. 5/40, Maddo Vaddo, Calangute Bardez ). It’s a 3 Star Villa with overall Rating 4.1 Out of 5 where  4.7/5 for Hospitality &  4.3/5 for Room &  4.2/5 for Cleanliness . Top Facilities of this Villa are Power Backup & Free Wi-Fi & Restaurant. "
4,Porsu,"₹ 2,444",YES,South Goa,"This 3 Star Villa in Goa is located in South Goa. Full Address of property is Near Leopard Valley, Agonda Palolem Road, 403702 Canacona, India View On Map This Villa have 4.4 Out of 5 Rating where  5.0/5 for Host responsiveness &  4.6/5 for Food arrangement &  4.6/5 for Check-in Experience . Key amenities of this property are Caretaker & Restaurant & Housekeeping. "
5,Villa Carpe Diem | 5 BHK Luxury Private Pool Villa,"₹ 10,904",YES,North Goa,"Location of the Villa is North Goa View On Map (Villa 38, Pinto Rosario Square, Socorro, Bardez- Goa). It’s a 4 Star Villa with overall Rating 4.8 Out of 5 where  5.0/5 for Host responsiveness &  5.0/5 for Location &  5.0/5 for Food . Top Facilities of this Villa are Living Room & Free Wi-Fi & Housekeeping. "
6,Dew Drop| Rooms with Wi-Fi,"₹ 1,160",NO,Panjim | 1.4 km from Cajnges Cafe,"Full Address of property is Dew Drop, Miramar, Near Harley Davidson showroom, Panaji View On Map This Villa have 3.9 Out of 5 Rating where  4.6/5 for Washroom cleanliness &  4.5/5 for Linen cleanliness &  4.3/5 for Room . Key amenities of this property are Caretaker & Living Room & Power Backup. "
7,JS 4BHK Private Pool Villa,"₹ 7,447",YES,Calangute,Location of the Villa is Calangute View On Map (House No - 285/2 Dias Vaddo Nagoa Calanguate). Top Facilities of this Villa are Power Backup & Housekeeping & Air Conditioning.
8,Luxe Loft Villa | Entire 3 BHK Pool Villa,"₹ 21,333",YES,North Goa,"This 5 Star Villa in Goa is located in North Goa. Full Address of property is Off Chogm Road, Sangolda, Near Hotel Gautam, Alto - Porvorim, Pilerne, Bardez, Goa, 403501 View On Map Key amenities of this property are Kitchenette & Living Room & Power Backup. "
9,Le Pension Stays | Marine Studios Villa,"₹ 2,159",YES,Candolim | 5-6 minutes walk from Candolim Beach,"Location of the Villa is Candolim View On Map (Survey no. 204, Sub divisionno.. 0 at Aradi, Candolim, Bardez-Goa). It’s a 3 Star Villa with overall Rating 3.9 Out of 5 where  4.7/5 for Caretaker &  4.7/5 for Washroom cleanliness &  4.6/5 for Linen cleanliness . Top Facilities of this Villa are Caretaker & Air Conditioning & Safe. "
10,Ripples by Mangrove Stays,"₹ 5,339",NO,Nerul | 2.5 km from Candolim Beach,"Full Address of property is C-201, Umiya Serene, Nerul, Bardez, Goa View On Map This Villa have 5.0 Out of 5 Rating where . Key amenities of this property are Living Room & Air Conditioning. "
11,HideAway 2 BHK Duplex Villa STU,"₹ 6,066",YES,Mapusa,Location of the Villa is Mapusa View On Map (Hideaway duplex villa in Siolim). It’s a 4 Star Villa with overall Rating 4.0 Out of 5 where  4.0/5 for Location &  3.0/5 for Amenities &  3.0/5 for Value for Money . Top Facilities of this Villa are Kitchenette & Living Room & Power Backup.
12,Home Stay in Candolim GOA,₹ 979,YES,Candolim | 7-8 minutes walk from Candolim Beach,Full Address of property is 1141 Arardi Vaddo Candolim View On Map This Villa have 2.2 Out of 5 Rating where  4.3/5 for Security &  2.4/5 for Check-in Experience &  2.4/5 for Value for Money . Key amenities of this property are Housekeeping & Air Conditioning & 24-hour Room Service.
13,The Amrit Goa Villa | Rooms & Pool,"₹ 4,806",NO,Candolim | 4-5 minutes walk from Candolim Beach,"Location of the Villa is Candolim View On Map (961, The Amrit Goa, Candolim - Bardez, Goa, India, 403515). Top Facilities of this Villa are Caretaker & Lawn & Safe. "
