,name,price,couple-friendly,location,description
0,The St. Regis Goa Resort,"₹ 24,000",YES,Cavelossim | 2-3 minutes walk from Mobor Beach,"This 5 Star Resort in Goa is located in Cavelossim. Full Address of property is The St. Regis Goa Resort, Mobor, Cavelossim, Salcette View On Map This Resort have 4.6 Out of 5 Rating where  4.7/5 for Cleanliness &  4.7/5 for Room &  4.7/5 for Hospitality . Key amenities of this property are EV Charging Station & Free Parking & Free Wi-Fi. "
1,Resorte Marinha Dourada,"₹ 1,751",YES,Baga | 2.2 km from Baga Beach,"Location of the Resort is Baga View On Map (200 Tambudki Road, Arpora, Baga, near calangunte). It’s a 3 Star Resort with overall Rating 3.8 Out of 5 where  4.4/5 for Location &  4.0/5 for Cleanliness &  3.9/5 for Value for Money . Top Facilities of this Resort are Lawn & Bar & Air Conditioning. [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. "
2,Summerville Beach Resort,"₹ 1,807",YES,Candolim | 4-5 minutes walk from Candolim Beach,"Full Address of property is Taj Holiday Village Road,Dando, Condolim Bardez Goa View On Map This Resort have 3.6 Out of 5 Rating where  3.7/5 for Location &  3.5/5 for Security &  3.5/5 for Cleanliness . Key amenities of this property are Free Parking & Lawn & Bar. "
3,Krishna Beach Resort and Spa,"₹ 1,988",YES,Majorda | 7-8 minutes walk from Colva Beach,"Location of the Resort is Majorda View On Map (388/3, WARD No.5, KRISHNA BEACH RESORT AND SPA, 4TH WARD OF COLVA,, COLVA, SALCETE, South Goa, Goa). It’s a 4 Star Resort with overall Rating 3.7 Out of 5 where  4.4/5 for Security &  4.3/5 for Room &  4.0/5 for Hospitality . Top Facilities of this Resort are Free Public Parking & Free Wi-Fi & Lawn. "
4,Stone Water Eco Resort,"₹ 3,118",YES,Bogmalo | 2.4 km from Bogmalo Beach,"This 3 Star Resort in Goa is located in Bogmalo. Full Address of property is Karma WoodHouse,Santarem Beach Issorcim View On Map This Resort have 4.0 Out of 5 Rating where  4.3/5 for Location &  4.0/5 for Security &  4.0/5 for Value for Money . Key amenities of this property are Free Parking & Kids Play Area & Lawn. "
5,Ruffles Beach Resort,"₹ 1,926",YES,Candolim | 5-6 minutes walk from Candolim Beach,"Location of the Resort is Candolim View On Map (Fort Aguada Road, Opp State Bank Of India Candolim). It’s a 3 Star Resort with overall Rating 3.5 Out of 5 where  4.1/5 for Location &  3.7/5 for Room &  3.6/5 for Value for Money . Top Facilities of this Resort are Bar & Air Conditioning & Room Service. "
6,Park Inn by Radisson Goa Candolim,"₹ 5,904",NO,Candolim | 5-6 minutes walk from Candolim Beach,"This 4 Star Resort in Goa is located in Candolim. Full Address of property is Phoenix Park Inn Resort
Sequira Vado
Candolim View On Map This Resort have 3.8 Out of 5 Rating where  4.2/5 for Location &  4.1/5 for Hospitality &  4.0/5 for Cleanliness . [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. Key amenities of this property are Free Public Parking & Lawn & Cafe. "
7,HARD ROCK HOTEL GOA,"₹ 7,350",YES,Calangute | 1.3 km from Calangute Beach,Location of the Resort is Calangute View On Map (370/14/15 Porba Vaddo Calangute Bardez Goa). It’s a 5 Star Resort with overall Rating 4.2 Out of 5 where  5.0/5 for Security &  4.4/5 for Hospitality &  4.3/5 for Cleanliness . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Bar.
8,Resort Primo Bom Terra Verde,"₹ 1,724",YES,Calangute | 1.3 km from Baga Beach,"This 3 Star Resort in Goa is located in Calangute. Full Address of property is  E/4,263, Agar Vaddo, Calangute,
Bardez - Goa (North). View On Map This Resort have 3.9 Out of 5 Rating where  4.3/5 for Location &  4.0/5 for Security &  3.9/5 for Value for Money . Key amenities of this property are Free Parking & Kids Play Area & Outdoor Sports. "
9,Santana Beach Resort,"₹ 3,762",YES,Candolim | 4-5 minutes walk from Candolim Beach,"Location of the Resort is Candolim View On Map ( Dando Beach Candolim, North Goa, Goa). It’s a 3 Star Resort with overall Rating 4.4 Out of 5 where  4.7/5 for Location &  4.5/5 for Cleanliness &  4.5/5 for Hospitality . Top Facilities of this Resort are Outdoor Sports & Lawn & Room Service. [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. "
10,Grand Vatika Resort,"₹ 1,505",YES,Arambol | 2.7 km from Mandrem Beach,"This 3 Star Resort in Goa is located in Arambol. Full Address of property is MADHLAWADA,PERNEM ROAD,ARAMBOL Goa View On Map This Resort have 4.4 Out of 5 Rating where  4.6/5 for Hospitality &  4.4/5 for Cleanliness &  4.4/5 for Amenities . Key amenities of this property are EV Charging Station & Free Parking & Free Wi-Fi. "
11,Valentines Retreat,"₹ 1,726",YES,Candolim | 7-8 minutes walk from Candolim Beach,"Location of the Resort is Candolim View On Map (Sequeira waddo, Candolim, Bardez Goa). Top Facilities of this Resort are Free Parking & Free Wi-Fi & Bar. "
12,SinQ Beach Resort,"₹ 2,351",YES,Calangute | 7-8 minutes walk from Calangute Beach,"This 3 Star Resort in Goa is located in Calangute. Full Address of property is Near St. Anthony Chapel, Opposite Don Bosco Hostel,Tivai Vaddo, Calangute View On Map This Resort have 3.9 Out of 5 Rating where  4.1/5 for Cleanliness &  4.1/5 for Location &  4.0/5 for Room . [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. Key amenities of this property are Free Parking & Free Wi-Fi & Lawn. "
13,Kay's Riverview Resort,"₹ 1,855",YES,Baga | 1.7 km from Baga Beach,"Location of the Resort is Baga View On Map (H.no 520/7 , Sanquaddy, Arpora -Baga Beach Road, Bardez -Goa). It’s a 3 Star Resort with overall Rating 3.8 Out of 5 where  4.1/5 for Location &  3.9/5 for Room &  3.9/5 for Cleanliness . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Lawn. "
14,Kay's Calangute Resort | Service Apartments,"₹ 3,319",YES,Calangute Baga Road | 7-8 minutes walk from Calangute Beach,"This 3 Star Resort in Goa is located in Calangute Baga Road. Full Address of property is khobravado, calangute, Bardez,  Calangute village panchayat, Bardez Taluka, North GOA View On Map This Resort have 4.4 Out of 5 Rating where  4.6/5 for Value for Money &  4.6/5 for Child friendliness &  4.6/5 for Location . Key amenities of this property are Free Parking & Free Wi-Fi & Lawn. "
15,Ondas Do Mar Beach Resort Phase 2,"₹ 1,935",YES,Calangute | 4-5 minutes walk from Calangute Beach,"Location of the Resort is Calangute View On Map (Opp Road to Calangute Mall, Holiday Street, Gauravaddo, Calangute, Bardez,Goa). It’s a 3 Star Resort with overall Rating 3.3 Out of 5 where  4.2/5 for Location &  3.6/5 for Room &  3.5/5 for Value for Money . Top Facilities of this Resort are Free Parking & Kids Play Area & Kitchenette. "
16,Ticlo Resorts,"₹ 2,559",YES,Calangute Baga Road | 7-8 minutes walk from Calangute Beach,"Full Address of property is Opp Calangute Association Calangute-Baga Rd Umtavaddo, Calangute
Baga Road View On Map This Resort have 3.8 Out of 5 Rating where  4.4/5 for Location &  4.0/5 for Security &  3.9/5 for Hospitality . Key amenities of this property are Free Parking & Free Wi-Fi & Lawn. "
17,Beleza by the beach,"₹ 9,499",YES,Salcete | 2-3 minutes walk from Colva Beach,"Location of the Resort is Salcete View On Map (Thandwaddo, Betalbatim,Salcete, Goa). It’s a 4 Star Resort with overall Rating 4.5 Out of 5 where  4.7/5 for Cleanliness &  4.5/5 for Hospitality &  4.5/5 for Child friendliness . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Outdoor Sports. "
18,Riva Beach Resort,"₹ 6,824",YES,Mandrem Beach | 2-3 minutes walk from Mandrem Beach,"This 4 Star Resort in Goa is located in Mandrem Beach. Full Address of property is Mandrem Beach, Mandrem, North Goa - 403 527 View On Map This Resort have 4.0 Out of 5 Rating where  4.3/5 for Location &  4.0/5 for Food &  4.0/5 for Hospitality . [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. Key amenities of this property are Kids Play Area & Lawn & Bar. "
19,Radisson Resort Goa Baga,"₹ 7,649",NO,Baga | 1.8 km from Baga Beach,"Location of the Resort is Baga View On Map (Survey No. 155/1-E, Baga Arpora Road, Arpora). It’s a 5 Star Resort with overall Rating 4.2 Out of 5 where  4.4/5 for Cleanliness &  4.2/5 for Food &  4.1/5 for Child friendliness . Top Facilities of this Resort are Free Parking & Bar & Elevator/Lift. "
20,Joia Do Mar Resort,"₹ 2,391",YES,Calangute | 1.2 km from Calangute Beach,"This 3 Star Resort in Goa is located in Calangute. Full Address of property is Survey No. 362/12 and 362/10-C, Porba Vaddo, Calangute, Bardez, Goa View On Map This Resort have 3.9 Out of 5 Rating where  4.2/5 for Location &  4.0/5 for Hospitality &  4.0/5 for Security . [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. Key amenities of this property are Free Parking & Lawn & Bar. "
21,GOLDEN SANDS RESORT,"₹ 2,504",YES,Morjim | 4-5 minutes walk from Morjim Beach,Location of the Resort is Morjim View On Map (Plot No 125/1 Vithaldaswada Morjim north Goa). It’s a 3 Star Resort with overall Rating 3.8 Out of 5 where  5.0/5 for Hospitality &  4.7/5 for Child friendliness &  4.2/5 for Security . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Room Service.
22,La Grace Resort,"₹ 2,797",NO,Benaulim | 7-8 minutes walk from Benaulim Beach,"This 3 Star Resort in Goa is located in Benaulim. Full Address of property is Vaswaddo, Benaulim, Salcete, Goa  View On Map This Resort have 4.2 Out of 5 Rating where  4.5/5 for Room &  4.4/5 for Cleanliness &  4.4/5 for Value for Money . Key amenities of this property are Free Parking & Air Conditioning & Room Service. "
23,So My Resorts (SoMy Resorts),"₹ 4,247",YES,Calangute Baga Road | 850 m from Calangute Beach,"Location of the Resort is Calangute Baga Road View On Map (Naikawaddo, Calangute, Bardez  Goa ). It’s a 4 Star Resort with overall Rating 4.1 Out of 5 where  4.2/5 for Location &  4.2/5 for Cleanliness &  4.2/5 for Hospitality . Top Facilities of this Resort are Free Public Parking & Kids Play Area & Cafe. "
24,Resort Terra Paraiso - A  Beach Property,"₹ 5,146",YES,Calangute | 4-5 minutes walk from Calangute Beach,"This 4 Star Resort in Goa is located in Calangute. Full Address of property is Gaura vaddo, Opp Lane Of Pizza Hut , Calangute, Bardez Goa View On Map This Resort have 4.2 Out of 5 Rating where  4.4/5 for Cleanliness &  4.3/5 for Hospitality &  4.3/5 for Child friendliness . Key amenities of this property are Free Parking & Free Wi-Fi & Lawn. "
25,Royal Heritage Resort,"₹ 1,860",YES,Calangute | 1.2 km from Calangute Beach,"Location of the Resort is Calangute View On Map (House No 2/147, Behind Domino's Pizza, Calangute Anjuna Road, Naikawaddo). It’s a 3 Star Resort with overall Rating 3.7 Out of 5 where  4.2/5 for Location &  4.0/5 for Security &  3.9/5 for Cleanliness . Top Facilities of this Resort are Free Wi-Fi & Bar & Air Conditioning. "
26,Rahi Coral Beach Resort,"₹ 2,254",YES,Calangute Baga Road | 7-8 minutes walk from Calangute Beach,"Full Address of property is GROUND FLOOR, RAHI CORAL, , BARDEZ, CALANGUTE GOA View On Map This Resort have 2.8 Out of 5 Rating where  3.8/5 for Location &  3.0/5 for Security &  3.0/5 for Food . Key amenities of this property are Bar & Room Service & Power Backup. "
27,Marquis Beach Resort,"₹ 9,000",YES,Candolim | 2-3 minutes walk from Candolim Beach,"Location of the Resort is Candolim View On Map (H.NO. 206/A, DANDO VADDO,CANDOLIM, BARDEZ, GOA). It’s a 4 Star Resort with overall Rating 4.4 Out of 5 where  5.0/5 for Location &  5.0/5 for Room &  4.6/5 for Cleanliness . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Lawn. "
28,Santonio Resorts,"₹ 1,634",YES,Vagator | 1.3 km from Anjuna Beach,"Full Address of property is SANTONIO, Plot no. 234/2, Ozran Beach Road, Small Vagator,
Anjuna, Bardez, North Goa, Goa, 403509 View On Map This Resort have 4.1 Out of 5 Rating where  4.4/5 for Room &  4.4/5 for Security &  4.4/5 for Value for Money . Key amenities of this property are Free Parking & Free Wi-Fi & Lawn. "
29,Hotel Colva Kinara,"₹ 2,335",YES,Majorda | 7-8 minutes walk from Colva Beach,"Location of the Resort is Majorda View On Map (Near HDFC bank, Opp. Colva Football ground,D-Block, 4th ward, Colva). It’s a 3 Star Resort with overall Rating 3.8 Out of 5 where  4.4/5 for Location &  4.1/5 for Value for Money &  4.1/5 for Room . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Lawn. [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. "
30,Candolim Sands,"₹ 1,368",YES,Candolim | 7-8 minutes walk from Candolim Beach,"This 3 Star Resort in Goa is located in Candolim. Full Address of property is 1188, Anna Vaddo, 
Opp. Dr. Dukhle Clinic's Pharmacy Candolim Bardez, Goa - 403515 View On Map This Resort have 3.7 Out of 5 Rating where  4.2/5 for Value for Money &  4.2/5 for Location &  4.1/5 for Child friendliness . Key amenities of this property are Free Parking & Free Wi-Fi & Lawn. "
31,Fusion resorts,"₹ 2,180",YES,Candolim | 4-5 minutes walk from Candolim Beach,"Location of the Resort is Candolim View On Map (63/7, Dando, Opp Vivanta By Taj, Candolim-Bardez, North Goa, Goa). It’s a 3 Star Resort with overall Rating 3.5 Out of 5 where  4.1/5 for Hospitality &  4.0/5 for Location &  3.7/5 for Cleanliness . Top Facilities of this Resort are Free Parking & Kitchenette & Bar. "
32,Casablanca Beach Resort,"₹ 2,504",YES,Candolim | 4-5 minutes walk from Candolim Beach,"This 3 Star Resort in Goa is located in Candolim. Full Address of property is Near Shantadurga temple
Wadi Candolim, Bardez,
Candolim,Bardez Goa
Pin code 403515 View On Map This Resort have 3.6 Out of 5 Rating where  4.3/5 for Location &  3.9/5 for Hospitality &  3.7/5 for Value for Money . [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. Key amenities of this property are Free Public Parking & Lawn & Bar. "
33,Estrela Do Mar Beach Resort - A Beach Property,"₹ 5,860",YES,Calangute | 2-3 minutes walk from Calangute Beach,Location of the Resort is Calangute View On Map (Estrela Do Mar Beach Resort Khobra Vaddo Calangute Bardez-Goa 403516 Landmark: Road Opp To Our Lady Of Piety Chapel). It’s a 4 Star Resort with overall Rating 3.8 Out of 5 where  4.3/5 for Location &  4.0/5 for Food &  4.0/5 for Hospitality . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Bar.
34,Royal Orchid Beach Resort & Spa,"₹ 11,694",YES,Utorda Beach | 4-5 minutes walk from Utorda Beach,"This 5 Star Resort in Goa is located in Utorda Beach. Full Address of property is Utorda Beach,Salcette,South Goa
 View On Map This Resort have 4.0 Out of 5 Rating where  4.4/5 for Location &  4.2/5 for Child friendliness &  4.1/5 for Hospitality . [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. Key amenities of this property are Free Parking & Lawn & Bar. "
35,White Pearl Suites by Rosetum,"₹ 4,911",YES,Baga | 2.7 km from Baga Beach,"Location of the Resort is Baga View On Map (near mackies on the way to pride sun village hotel, near Hanuman Temple, Saqwadi Arpora Bardez Goa). It’s a 4 Star Resort with overall Rating 3.7 Out of 5 where  4.1/5 for Room &  3.9/5 for Cleanliness &  3.8/5 for Location . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Lawn. "
36,Angels Resort,"₹ 3,255",YES,North Goa,"This 3 Star Resort in Goa is located in North Goa. Full Address of property is Alto de Porvorim, Bardez View On Map This Resort have 4.2 Out of 5 Rating where  4.5/5 for Value for Money &  4.5/5 for Security &  4.4/5 for Cleanliness . [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. Key amenities of this property are Free Parking & Lawn & Air Conditioning. "
37,Anjuna Beach Resort,"₹ 1,972",YES,Anjuna | 7-8 minutes walk from Anjuna Beach,"Location of the Resort is Anjuna View On Map (house no. 649, ward no. X1, DMello Vaddo, Anjuna Beach, Anjuna). It’s a 3 Star Resort with overall Rating 3.5 Out of 5 where  4.0/5 for Room &  3.9/5 for Location &  3.9/5 for Hospitality . Top Facilities of this Resort are Free Parking & Lawn & Air Conditioning. "
38,William's Beach Retreat,₹ 837,YES,Colva | 5-6 minutes walk from Colva Beach,"Full Address of property is 4th Ward,Colva beach Lane road,Opposite HDFC Bank,Salcete,Colva-403708 View On Map This Resort have 3.1 Out of 5 Rating where  4.0/5 for Location &  3.2/5 for Value for Money &  3.2/5 for Room . Key amenities of this property are Free Wi-Fi & Bar & Air Conditioning. "
39,Golden Tulip Goa,"₹ 4,529",YES,Candolim | 1.1 km from Candolim Beach,"Location of the Resort is Candolim View On Map (315, Survey No 18/4, Bamon Vaddo, Candolim,Bardez, Goa-403515). It’s a 4 Star Resort with overall Rating 4.0 Out of 5 where  4.4/5 for Room &  4.3/5 for Cleanliness &  4.1/5 for Hospitality . Top Facilities of this Resort are Free Public Parking & Lawn & Bar. "
40,Resort The Lohias Candolim Goa,"₹ 4,519",YES,Candolim | 7-8 minutes walk from Candolim Beach,"This 4 Star Resort in Goa is located in Candolim. Full Address of property is H. No : 170/5, Anna Vaddo, Candolim, Goa View On Map This Resort have 4.1 Out of 5 Rating where  5.0/5 for Room &  4.7/5 for Location &  4.3/5 for Hospitality . Key amenities of this property are Free Public Parking & Lawn & Cafe. "
41,The Tubki Resort,"₹ 1,432",YES,Palolem | 2.4 km from Palolem Beach,"Location of the Resort is Palolem View On Map (House No.332/G, Patnem- Palolem beach road, Patnem, Palolem, Canacona, Goa). It’s a 3 Star Resort with overall Rating 4.1 Out of 5 where  4.3/5 for Room &  4.2/5 for Value for Money &  4.1/5 for Location . Top Facilities of this Resort are Childcare Services & Free Wi-Fi & Air Conditioning. "
42,La Ben Resort,"₹ 6,248",YES,Colva | 5-6 minutes walk from Colva Beach,"Full Address of property is Colva Beach,Salcete (South Goa) View On Map This Resort have 3.8 Out of 5 Rating where  4.6/5 for Location &  4.2/5 for Security &  4.2/5 for Value for Money . Key amenities of this property are Free Parking & Bar & Air Conditioning. "
43,Resort Lagoa Azul,"₹ 2,765",YES,Arpora | 2.8 km from Baga Beach,"Location of the Resort is Arpora View On Map (Little Baga,Arpora,Bardez-Goa.). It’s a 3 Star Resort with overall Rating 4.1 Out of 5 where  4.2/5 for Cleanliness &  4.2/5 for Child friendliness &  4.2/5 for Hospitality . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Lawn. "
44,Sharanam Greens Resort,"₹ 2,925",YES,Calangute | 7-8 minutes walk from Candolim Beach,This 3 Star Resort in Goa is located in Calangute. Full Address of property is Hno. 82/B 124/3 village calangute bardez goa 403516 View On Map This Resort have 3.4 Out of 5 Rating where  4.0/5 for Location &  3.9/5 for Child friendliness &  3.5/5 for Hospitality . Key amenities of this property are Outdoor Sports & Lawn & Cafe.
45,The Zuri White Sands Goa Resort and Casino,"₹ 9,399",YES,Salcete | 2-3 minutes walk from Varca Beach,"Location of the Resort is Salcete View On Map (178/1 and 179/1 Pedda, Varca, Salcete, South Goa). It’s a 5 Star Resort with overall Rating 4.2 Out of 5 where  4.5/5 for Location &  4.4/5 for Cleanliness &  4.3/5 for Room . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Outdoor Sports. "
46,Down Da Village,"₹ 1,395",YES,Candolim | 1.2 km from Candolim Beach,"Full Address of property is 1168 Candolim Rd, Arari Road, Calangute, Goa 403515 View On Map This Resort have 2.5 Out of 5 Rating where  3.1/5 for Security &  2.9/5 for Location &  2.9/5 for Value for Money . Key amenities of this property are Free Parking & Lawn & Bar. "
47,Hilton Goa Resort,"₹ 15,000",YES,Candolim,"Location of the Resort is Candolim View On Map (Pilerne Candolim Road, 
Saipem, Candolim, Goa). It’s a 5 Star Resort with overall Rating 4.1 Out of 5 where  4.3/5 for Food &  4.2/5 for Cleanliness &  4.0/5 for Child friendliness . Top Facilities of this Resort are Kids Play Area & Childcare Services & Outdoor Sports. "
48,Sobit Sarovar Portico,"₹ 6,277",NO,Palolem | 5-6 minutes walk from Palolem Beach,"This 4 Star Resort in Goa is located in Palolem. Full Address of property is Palolem Beach Road, Palolem, Canacona, South Goa 403702
 View On Map This Resort have 4.5 Out of 5 Rating where  5.0/5 for Location &  4.8/5 for Security &  4.7/5 for Hospitality . Key amenities of this property are Bar & Room Service & Power Backup. "
49,Alvorada Resort,"₹ 3,228",YES,Calangute | 2.0 km from Baga Beach,"Location of the Resort is Calangute View On Map (Alvorada resort,House No  172/3/ H-FF - 101, ward III Devan Bhatty Arpora, Bardez Goa). It’s a 3 Star Resort with overall Rating 3.7 Out of 5 where  4.0/5 for Cleanliness &  4.0/5 for Hospitality &  4.0/5 for Location . Top Facilities of this Resort are Outdoor Sports & Lawn & Bar. "
50,"DiVaN Clarks Inn, Goa (Calangute Beach)","₹ 2,232",YES,Calangute | 7-8 minutes walk from Calangute Beach,"This 4 Star Resort in Goa is located in Calangute. Full Address of property is H.No. 2/116-C, Naika Vaddo, Opposite St. Joseph High School, Calangute, Bardez, Goa View On Map This Resort have 4.0 Out of 5 Rating where  5.0/5 for Amenities &  4.8/5 for Security &  4.4/5 for Location . Key amenities of this property are Free Parking & Bar & Elevator/Lift. "
