,name,price,couple-friendly,location,description
51,Novotel Goa Dona Sylvia Resort,"₹ 8,500",YES,Cavelossim | 4-5 minutes walk from Cavelossim Beach,"Location of the Resort is Cavelossim View On Map (Cavelossim Beach,). It’s a 5 Star Resort with overall Rating 4.4 Out of 5 where  4.8/5 for Security &  4.6/5 for Location &  4.5/5 for Cleanliness . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Butler Services. "
52,NANU RESORT - ARAMBOL,"₹ 2,925",YES,Arambol | 1.2 km from Mandrem Beach,"This 4 Star Resort in Goa is located in Arambol. Full Address of property is HOUSE NO. 264, GIRKARWADA, ARAMBOL, PERNEM - GOA 403 524 View On Map This Resort have 4.5 Out of 5 Rating where  4.7/5 for Cleanliness &  4.6/5 for Hospitality &  4.5/5 for Room . Key amenities of this property are EV Charging Station & Free Parking & Childcare Services. "
53,Shaan Coco Palms Beach Resort Morjim,"₹ 2,104",YES,Morjim | 4-5 minutes walk from Morjim Beach,"Location of the Resort is Morjim View On Map (H.No. - 795, Vithaldaswada, Morjim, Pernem, Goa.). It’s a 3 Star Resort with overall Rating 4.2 Out of 5 where  5.0/5 for Hospitality &  4.8/5 for Location &  4.5/5 for Amenities . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Lawn. "
54,Palolem Beach Resort,"₹ 2,888",YES,Palolem | 4-5 minutes walk from Palolem Beach,"This 3 Star Resort in Goa is located in Palolem. Full Address of property is Entrance of Palolem beach, Palolem Beach
 View On Map This Resort have 3.4 Out of 5 Rating where  4.5/5 for Location &  4.0/5 for Child friendliness &  3.7/5 for Hospitality . Key amenities of this property are Lawn & Air Conditioning & Power Backup. "
55,Prainha Resort By The Sea,"₹ 5,032",YES,Dona Paula Beach,"Location of the Resort is Dona Paula Beach View On Map (Near State Bank of India, Dona Paula, Goa - 403004). It’s a 3 Star Resort with overall Rating 4.2 Out of 5 where  4.6/5 for Location &  4.3/5 for Cleanliness &  4.3/5 for Amenities . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Lawn. "
56,Santa Monica Resort-Calangute,"₹ 2,300",YES,Calangute | 7-8 minutes walk from Calangute Beach,"This 3 Star Resort in Goa is located in Calangute. Full Address of property is 3/35/D, TIVAI VADDO, CALANGUTE, BARDEZ,GOA, 403516 View On Map This Resort have 3.5 Out of 5 Rating where  4.0/5 for Security &  3.9/5 for Location &  3.7/5 for Cleanliness . Key amenities of this property are Free Public Parking & Kids Play Area & Outdoor Sports. "
57,Casa Albuquerque,"₹ 3,767",NO,Vagator | 7-8 minutes walk from Vagator Beach,"Location of the Resort is Vagator View On Map (House No. 524/2, WARD NO. I, VAGATOR, ANJUNA, BARDEZ, GOA- 403509). Top Facilities of this Resort are Free Wi-Fi & Power Backup. "
58,Rendezvous Beach Resort,"₹ 2,511",YES,Panjim,"This 3 Star Resort in Goa is located in Panjim. Full Address of property is Vainguinim valley, Vainguinim Beach, Land no. 21,  Dona Paula Goa, 403004
  View On Map This Resort have 3.6 Out of 5 Rating where  4.0/5 for Child friendliness &  4.0/5 for Hospitality &  3.8/5 for Cleanliness . Key amenities of this property are Free Parking & Free Wi-Fi & Lawn. "
59,Sterling Goa Varca,"₹ 5,424",YES,Varca | 5-6 minutes walk from Varca Beach,"Location of the Resort is Varca View On Map (605/D, Pedda - Colva Rd, Nomeo, ( GOA LA VIDA HOTS000500)). It’s a 4 Star Resort with overall Rating 3.9 Out of 5 where  4.3/5 for Child friendliness &  4.2/5 for Cleanliness &  4.2/5 for Room . Top Facilities of this Resort are Free Parking & Outdoor Sports & Lawn. "
60,Ocean Palms Goa,"₹ 3,796",YES,Calangute | 7-8 minutes walk from Calangute Beach,"This 4 Star Resort in Goa is located in Calangute. Full Address of property is E-1/304/5/6 A/B/C, OCEAN PALMS GOA, OPP. HOLIDAY, STREET, CALANGUTE, North Goa, Goa, 403516 View On Map This Resort have 4.2 Out of 5 Rating where  4.5/5 for Hospitality &  4.4/5 for Child friendliness &  4.3/5 for Cleanliness . Key amenities of this property are Free Parking & Kids Play Area & Lawn. "
61,"O Hotel Goa, Candolim Beach","₹ 8,199",YES,Candolim | 2-3 minutes walk from Candolim Beach,"Location of the Resort is Candolim View On Map (S.No.114/1 Candolim, Dando, Bardez,Goa). It’s a 5 Star Resort with overall Rating 3.7 Out of 5 where  4.3/5 for Location &  4.0/5 for Hospitality &  3.9/5 for Cleanliness . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Outdoor Sports. [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. "
62,Lemon Tree Amarante Beach Resort,"₹ 9,939",YES,Candolim | 4-5 minutes walk from Candolim Beach,"This 5 Star Resort in Goa is located in Candolim. Full Address of property is Lemon Tree Amarante Beach Resort - Goa
Vadi, Candolim, Bardez, Goa 403515
 View On Map This Resort have 4.0 Out of 5 Rating where  4.6/5 for Location &  4.5/5 for Hospitality &  4.2/5 for Amenities . [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. Key amenities of this property are Free Parking & Free Wi-Fi & Bar. "
63,Sandbanks Beach Resort,"₹ 1,784",YES,Arambol Beach,"Location of the Resort is Arambol Beach View On Map (164/1A 1B Khalcha Vada, Near Arambol Beach main parking, Arambol Beach, Pernem, Goa). It’s a 3 Star Resort with overall Rating 3.3 Out of 5 where  4.0/5 for Cleanliness &  4.0/5 for Location &  3.0/5 for Value for Money . Top Facilities of this Resort are Lawn & Bar & Room Service. "
64,Spazio Leisure Resort,"₹ 2,684",YES,Anjuna | 7-8 minutes walk from Anjuna Beach,"This 3 Star Resort in Goa is located in Anjuna. Full Address of property is House No. 648/2A, Spazio Leisure Resort, Anjuna Mapusa Road, Dmello Vaddo, Anjuna, North Goa, Goa, 403509 View On Map This Resort have 4.0 Out of 5 Rating where  4.2/5 for Hospitality &  4.2/5 for Cleanliness &  4.1/5 for Location . Key amenities of this property are Free Parking & Free Wi-Fi & Lawn. "
65,"Stone Wood Beach Resort and Club, Vagator Beach","₹ 5,021",YES,Vagator | 810 m from Anjuna Beach,"Location of the Resort is Vagator View On Map (Next to Antares Beach resort, Small vagator Beach road, Vagator, Goa- 403509
). It’s a 4 Star Resort with overall Rating 3.6 Out of 5 where  4.5/5 for Hospitality &  4.1/5 for Cleanliness &  3.7/5 for Amenities . Top Facilities of this Resort are Free Wi-Fi & Bar & Air Conditioning. "
66,Deltin Suites,"₹ 5,817",YES,Nerul,"This 5 Star Resort in Goa is located in Nerul. Full Address of property is Fadtevaddo, Nerul-Candolim View On Map This Resort have 4.2 Out of 5 Rating where  4.4/5 for Cleanliness &  4.4/5 for Room &  4.4/5 for Amenities . Key amenities of this property are Free Wi-Fi & Elevator/Lift & Air Conditioning. "
