,name,price,couple-friendly,location,description
14,"Hotel Reemz, Beach Heaven, Anjuna, Goa","₹ 2,182",YES,Anjuna | 7-8 minutes walk from Anjuna Beach,"This 3 Star Apart-hotel in Goa is located in Anjuna. Full Address of property is Hotel Reemz, Beach Heaven, Anjuna Mapusa Rd, Dmello Vaddo, Anjuna, Goa 403509 View On Map This Apart-hotel have 3.7 Out of 5 Rating where  4.3/5 for Location &  4.0/5 for Security &  3.8/5 for Cleanliness . Key amenities of this property are Caretaker & Free Wi-Fi & Power Backup. "
15,Swastik Homestay | Rooms & Restaurant,₹ 835,NO,Calangute | 7-8 minutes walk from Calangute Beach,Location of the Homestay is Calangute View On Map (124 / 1 Gaura Vaddo Calangute). Top Facilities of this Homestay are Tours and Treks & Free Parking & Housekeeping.
16,Ocean Suite Boutique | Rooms in a Villa,"₹ 2,161",NO,Panjim,"This 3 Star Villa in Goa is located in Panjim. Full Address of property is  Chhabra House ,Nagalli hills, Bella Vista, Dona Paula. Goa 403004 View On Map This Villa have 3.8 Out of 5 Rating where  4.4/5 for Washroom cleanliness &  4.1/5 for Hospitality &  4.1/5 for Room . [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. Key amenities of this property are Caretaker & Living Room & Power Backup. "
17,Patnem Palolem Beach Apartment | Rooms & Pool,"₹ 2,718",NO,Palolem | 2.4 km from Palolem Beach,"Location of the Apartment is Palolem View On Map (Plot No 59/20 Patnem, Canacona Goa). Top Facilities of this Apartment are Living Room & Free Parking & Housekeeping. "
18,Tinkker Bell Holiday Home,"₹ 1,085",NO,Calangute | 7-8 minutes walk from Calangute Beach,"Full Address of property is 403/7 Gaura Vaddo, Calangute, View On Map This Holiday Home have 3.6 Out of 5 Rating where  4.2/5 for Location &  4.2/5 for Check-in Experience &  4.2/5 for Value for Money . Key amenities of this property are Housekeeping & Paid Airport Transfers & 24-hour Room Service. "
19,Crystal Goa Onyx,"₹ 1,031",YES,Palolem | 4-5 minutes walk from Palolem Beach,"Location of the Apart-hotel is Palolem View On Map (House No.78/1, Palolem, Canacona, 403702 Palolem, India). It’s a 3 Star Apart-hotel with overall Rating 4.1 Out of 5 where  4.8/5 for Room &  4.6/5 for Location &  3.8/5 for Child friendliness . Top Facilities of this Apart-hotel are Power Backup & Free Parking & Housekeeping. "
20,Wave Calangute - Hi Hospitality Apartments,"₹ 3,196",YES,Calangute | 1.1 km from Calangute Beach,"Full Address of property is Hi Hospitality - The Eternal wave, Khobra Vaddo, Calangute, Bardez, North Goa - 403516 View On Map This Apartment have 3.8 Out of 5 Rating where  4.3/5 for Hospitality &  4.2/5 for Room &  4.1/5 for Location . Key amenities of this property are Living Room & Free Wi-Fi & Power Backup. "
21,Curlies Shiva-valley Cottages  by BelloStay,"₹ 1,978",YES,Anjuna | 2-3 minutes walk from Anjuna Beach,"Location of the Cottage is Anjuna View On Map (Near shiva valley, near curlies parking). Top Facilities of this Cottage are Caretaker & Tours and Treks & Cafe. "
22,Close2c Holiday Home By Eleet Hotels,"₹ 2,983",NO,Anjuna | 840 m from Anjuna Beach,"Full Address of property is Hno 912/1, Pequen Pedem, opposite to JW heritage hotel, Anjuna Mapusa beach, Goa View On Map Key amenities of this property are Power Backup & Air Conditioning. "
23,Nikita Residency | Rooms with Balcony,"₹ 1,514",NO,Calangute | 1.3 km from Calangute Beach,"Location of the Apartment is Calangute View On Map (H No. 4/112-3-S-1 Porbo Vaddo, Near BJP MLA Office). Top Facilities of this Apartment are Free Public Parking & Housekeeping & Paid Airport Transfers. "
24,La Petite Homestay | Room & Caretaker,"₹ 1,061",YES,Bogomallo Beach | 2-3 minutes walk from Bogmalo Beach,"Full Address of property is House No 175 , Bailichall, Bogmalo, Goa View On Map This Homestay have 4.3 Out of 5 Rating where  4.5/5 for Host responsiveness &  4.4/5 for Host &  4.3/5 for Check-in Experience . Key amenities of this property are Free Wi-Fi & Power Backup & Balcony/Terrace. "
25,D7 La Serene,"₹ 2,508",YES,South Goa | 2.5 km from Benaulim Beach,"Location of the Cottage is South Goa View On Map (H.No. 7D,  D7 La Serene, Benaulim, South Goa, Goa, 403716, goa). It’s a 3 Star Cottage with overall Rating 4.5 Out of 5 where  4.7/5 for Host &  4.7/5 for Check-in Experience &  4.6/5 for Cleanliness . Top Facilities of this Cottage are Tours and Treks & Free Wi-Fi & Housekeeping. "
26,Brushwood Villa | Rooms & Caretaker,"₹ 1,369",YES,Palolem | 5-6 minutes walk from Palolem Beach,"Full Address of property is HOUSE NO 7/242/A COLOMB,CANACONA,GOA 403702 LANDMARK NEAR Colomb Beach View On Map This Cottage have 3.2 Out of 5 Rating where  3.9/5 for Host responsiveness &  3.6/5 for Host &  3.4/5 for Check-in Experience . Key amenities of this property are Tours and Treks & Power Backup & Free Wi-Fi. "
27,Casa Comforts | Beachfront Cottage & Restaurant,"₹ 4,187",YES,Vagator | 870 m from Anjuna Beach,Location of the Cottage is Vagator View On Map (Survey No. 215/4A Ozrant-Vagator Anjuna Bardez Goa). It’s a 4 Star Cottage with overall Rating 3.7 Out of 5 where  4.7/5 for Check-in Experience &  4.3/5 for Location &  4.3/5 for Caretaker . Top Facilities of this Cottage are Power Backup & Free Wi-Fi & Housekeeping.
28,Campo De Vista | Rooms & Pool,"₹ 1,156",NO,Calangute | 2.3 km from Calangute Beach,"Full Address of property is 2/274 A Naika Vadoo, Calangute Goa View On Map This Apartment have 3.2 Out of 5 Rating where  3.6/5 for Room &  3.4/5 for Washroom cleanliness &  3.4/5 for Host . Key amenities of this property are Caretaker & Tours and Treks & Free Parking. "
29,Monarch Palms | 2 BHK Apartment with Pool,"₹ 3,245",YES,Candolim | 1.1 km from Candolim Beach,"Location of the Apartment is Candolim View On Map (Monarch Palms, Candolim, Goa- 403515. Nearest Landmark- Golden Tulip Hotel). It’s a 3 Star Apartment with overall Rating 4.1 Out of 5 where  4.8/5 for Washroom cleanliness &  4.7/5 for Linen cleanliness &  4.6/5 for Check-in Experience . Top Facilities of this Apartment are Living Room & Free Wi-Fi & Power Backup. "
30,Bella s Residency,"₹ 1,982",NO,Calangute Baga Road | 460 m from Calangute Beach,"Full Address of property is 3/48, Tivia Vado, next to Casa de Goa View On Map This Apart-hotel have 3.8 Out of 5 Rating where  4.2/5 for Food &  4.1/5 for Amenities &  4.1/5 for Location . Key amenities of this property are Housekeeping & Restaurant & Room Service. "
31,Ronz Vista da Praia | Rooms with Wi-Fi,"₹ 1,873",YES,Calangute | 4-5 minutes walk from Calangute Beach,"Location of the Homestay is Calangute View On Map (H No. E 5/13, Cedars Mansion, Maddo Vaddo, Calangute, Bardez, Goa- 403516). It’s a 3 Star Homestay with overall Rating 4.2 Out of 5 where  4.4/5 for Location &  4.4/5 for Host &  4.4/5 for Washroom cleanliness . Top Facilities of this Homestay are Caretaker & Free Wi-Fi & Power Backup. "
32,Living Room Beach Resort,"₹ 6,120",YES,Morjim | 5-6 minutes walk from Morjim Beach,"Full Address of property is Living Room beach resort Morjim, 181/4,5, 774, 763A, 763B, Morjim RD, Morjim, North Goa, 403516 View On Map This Apart-hotel have 3.8 Out of 5 Rating where  5.0/5 for Child friendliness &  4.8/5 for Host responsiveness &  4.8/5 for Check-in Experience . Key amenities of this property are Power Backup & Free Public Parking & Housekeeping. "
33,Olive Calangute Niwasa - by Embassy Group,"₹ 2,166",YES,Calangute | 7-8 minutes walk from Calangute Beach,"Location of the Apartment is Calangute View On Map (H.NO 376, GAURA V ADDO CALANGUTE, BARDEZ GOA,
North Goa, Goa, 403516). Top Facilities of this Apartment are Power Backup & Free Public Parking & Housekeeping. "
34,The Rainbow's End| Unique Cottages with Pool,"₹ 1,574",YES,Majorda | 1.1 km from Majorda Beach,"This 3 Star Cottage in Goa is located in Majorda. Full Address of property is The Rainbow's End 81/4, Gomesv Vaddo, Majorda junction before the beach, opp prakash hotel, Majorda, Salcete, South Goa - 403713 View On Map This Cottage have 4.0 Out of 5 Rating where  4.3/5 for Host responsiveness &  4.3/5 for Host &  4.2/5 for Cleanliness . Key amenities of this property are Free Wi-Fi & Housekeeping & Free Parking. "
35,Bliss Water Resort | Rooms in a Cottage,"₹ 1,602",YES,Arambol | 1.5 km from Mandrem Beach,"Location of the Cottage is Arambol View On Map (Near Arambol Beach, Arambol, Pernem, North Goa, 403524). It’s a 3 Star Cottage with overall Rating 3.8 Out of 5 where  5.0/5 for Kitchen &  5.0/5 for Food &  4.5/5 for Host responsiveness . Top Facilities of this Cottage are Caretaker & Cafe & Restaurant. "
36,Crystal Goa | Rooms & Free Wi-Fi,"₹ 1,176",NO,Palolem | 4-5 minutes walk from Palolem Beach,"Full Address of property is House number 273 Palolem, Canacona, Goa View On Map This Cottage have 3.3 Out of 5 Rating where  4.3/5 for Hospitality &  3.5/5 for Location &  3.4/5 for Check-in Experience . Key amenities of this property are Housekeeping & Free Parking & Balcony/Terrace. "
37,Calangute Beauty | 2 BHK Luxury Apartment,"₹ 2,865",YES,Calangute | 1.8 km from Calangute Beach,"Location of the Apartment is Calangute View On Map (Calangute Candolim Beach Road
Goa 403516). Top Facilities of this Apartment are Living Room & Air Conditioning & Lawn. "
38,Casa Legend Economy | Rooms & Kitchen,"₹ 1,566",YES,Candolim | 7-8 minutes walk from Candolim Beach,"This 3 Star Apartment in Goa is located in Candolim. Full Address of property is H no. 1168/1/CG-2,Ximer, Opp Hotel Hyatt Centric, Candolim Goa View On Map This Apartment have 3.8 Out of 5 Rating where  4.5/5 for Hospitality &  4.3/5 for Child friendliness &  4.1/5 for Room . Key amenities of this property are Free Wi-Fi & Power Backup & Housekeeping. "
39,Bella Villa | Rooms in Homestay,"₹ 1,285",NO,Panjim,"Location of the Homestay is Panjim View On Map (House No 421/1, La Oceana II, Behind Goa International Centre, Donapaula, Panjim - 403004). Top Facilities of this Homestay are Living Room & Power Backup & Free Parking. "
40,Love Temple Beach Cottages | Rooms & Caretaker,"₹ 1,114",YES,Arambol Beach | 2.9 km from Mandrem Beach,"This 3 Star Cottage in Goa is located in Arambol Beach. Full Address of property is Love Temple Beach Cottages, survey no 71, near life guard center, Arambol beach, Goa View On Map This Cottage have 3.8 Out of 5 Rating where  4.6/5 for Host responsiveness &  4.4/5 for Location &  4.4/5 for Kitchen . Key amenities of this property are Power Backup & Housekeeping & Washing Machine. "
41,CABO SERAI,"₹ 9,736",NO,South Goa | 2-3 minutes walk from Cabo De Rama Beach,"Location of the Luxury Camp is South Goa View On Map (Plot number 1B, Cabo Serai, Cabo de Rama, Goa, India - 403702). It’s a 5 Star Luxury Camp with overall Rating 4.6 Out of 5 where  5.0/5 for Child friendliness &  5.0/5 for Food &  5.0/5 for Security . "
42,Obrigado Beach Cottages | Room & Pool,"₹ 2,074",YES,Arambol | 2.7 km from Mandrem Beach,"This 3 Star Cottage in Goa is located in Arambol. Full Address of property is survey no 57/6 girkarwaddo , hermal , pernem goa View On Map This Cottage have 3.6 Out of 5 Rating where  4.5/5 for Host responsiveness &  4.1/5 for Location &  3.8/5 for Check-in Experience . Key amenities of this property are Power Backup & Free Wi-Fi & Restaurant. "
43,Hungry House,"₹ 1,584",YES,Calangute Baga Road | 5-6 minutes walk from Calangute Beach,"Location of the Apart-hotel is Calangute Baga Road View On Map (opposite paradise village, Tivai Vaddo, Calangute, Goa 403516). Top Facilities of this Apart-hotel are Free Wi-Fi & Power Backup & Free Parking. "
44,Caasa De Nirvana's,"₹ 1,008",YES,Arambol | 7-8 minutes walk from Mandrem Beach,"Full Address of property is 175/2 Girkarwada, Dando Road, Arambol, Goa, 175/2 Girkarwada, Dando Road, Arambol, Goa View On Map This Cottage have 3.8 Out of 5 Rating where  4.6/5 for Host &  4.4/5 for Location &  4.0/5 for Linen cleanliness . Key amenities of this property are Power Backup & Free Wi-Fi & Air Conditioning. "
45,Laliguras Villa| Rooms & Restaurant,"₹ 1,598",NO,Candolim | 4-5 minutes walk from Candolim Beach,"Location of the Villa is Candolim View On Map (Lali Guras Villa, House No. 556-D , Murod Vaddo, Candolim , Beach Road, Bardez Goa). It’s a 3 Star Villa with overall Rating 4.2 Out of 5 where  4.5/5 for Host responsiveness &  4.4/5 for Location &  4.3/5 for Cleanliness . Top Facilities of this Villa are Caretaker & Free Wi-Fi & Restaurant. "
46,Sun Park Resort Baga,"₹ 2,127",YES,Baga | 0 m from Baga Beach,"Full Address of property is Sunpark Resort , Before Acron Sea WInds,Next to Ivy Retreat, Sunpark Lane Khobra Vaddo Off,calangute Baga road Baga, Bardez Goa View On Map This Apart-hotel have 2.8 Out of 5 Rating where  5.0/5 for Food &  5.0/5 for Amenities &  3.5/5 for Value for Money . Key amenities of this property are Housekeeping & Air Conditioning & Room Service. "
47,Marcello Villa | Rooms & Caretaker,₹ 994,YES,Calangute | 1.5 km from Baga Beach,"Location of the Villa is Calangute View On Map (H.No-4/265,Near Fat Fish, Agar Vaddo, Baga). Top Facilities of this Villa are Safe & Paid Airport Transfers & 24-hour Room Service. "
48,Vailankanni Holiday Homes,₹ 988,YES,Calangute Baga Road | 7-8 minutes walk from Calangute Beach,"Full Address of property is House No. 3/38A, Tivai Vaddo, Near Porait Football Ground, Calangute, Bardez, Goa View On Map This Holiday Home have 4.4 Out of 5 Rating where  4.8/5 for Child friendliness &  4.8/5 for Hospitality &  4.5/5 for Room . Key amenities of this property are Power Backup & Housekeeping & Free Parking. "
49,Shrikrishna Studio Goa | Rooms & Pool,"₹ 1,344",NO,Calangute,"Location of the Apartment is Calangute View On Map (House No 177/3/B, Bardez, LandMark Nagnathh bhumika tepmle ). It’s a 3 Star Apartment with overall Rating 4.1 Out of 5 where  4.6/5 for Room &  4.3/5 for Host &  4.3/5 for Washroom cleanliness . Top Facilities of this Apartment are Living Room & Free Wi-Fi & Power Backup. "
50,Vihaan Inn,"₹ 1,023",NO,Calangute | 7-8 minutes walk from Calangute Beach,"Full Address of property is House No 1/132 A, Calangute, Landmark Gaura Vaddo View On Map This Apartment have 3.0 Out of 5 Rating where  4.6/5 for Child friendliness &  4.4/5 for Hospitality &  3.6/5 for Food . Key amenities of this property are Free Public Parking & Balcony/Terrace & Housekeeping. "
51,Sand Castle | Homestay Near The Beach,"₹ 1,157",NO,Panjim,"Location of the Homestay is Panjim View On Map (Plot no ,26 and 35, Beach Plaza, near kamat kinara, behind hotel Miramar, Miramar, Goa 403002). Top Facilities of this Homestay are Housekeeping & Air Conditioning. "
52,Goan Imperial Holidays,"₹ 1,045",YES,Varca | 1.7 km from Varca Beach,"Full Address of property is Goan Imperial Holidays,
Behind Magsons Super Market,
ReproWaddo, Varca,
Salcete, Goa, India View On Map This Apartment have 3.4 Out of 5 Rating where  4.2/5 for Room &  3.8/5 for Child friendliness &  3.8/5 for Hospitality . Key amenities of this property are Caretaker & Living Room & Balcony/Terrace. "
53,The Candolim Retreat GOA,"₹ 1,320",NO,Candolim | 7-8 minutes walk from Candolim Beach,"Location of the Homestay is Candolim View On Map (Candolim retreat, near shanta durga temple, Marquis waddo, Candolim). Top Facilities of this Homestay are Free Parking & Air Conditioning & Room Service. "
54,Villa Carpe Diem | 5 BHK Luxury Private Pool Villa,"₹ 10,904",YES,North Goa,"This 4 Star Villa in Goa is located in North Goa. Full Address of property is Villa 38, Pinto Rosario Square, Socorro, Bardez- Goa View On Map This Villa have 4.8 Out of 5 Rating where  5.0/5 for Host responsiveness &  5.0/5 for Location &  5.0/5 for Food . Key amenities of this property are Living Room & Free Wi-Fi & Housekeeping. "
55,`Chandrakant Heritage Cottage| Cosy Rooms,"₹ 2,613",YES,Baga | 5-6 minutes walk from Baga Beach,"Location of the Cottage is Baga View On Map (H NO 7/76 B, SAUNTA WADDO, BAGA STREET NEAR, BAGA BRIDGE, CALANGUTE, North Goa, Goa, 403516). It’s a 3 Star Cottage with overall Rating 4.5 Out of 5 where  5.0/5 for Host responsiveness &  4.6/5 for Cleanliness &  4.5/5 for Check-in Experience . Top Facilities of this Cottage are Tours and Treks & Power Backup & Free Wi-Fi. "
56,Span Suites & Villas | Restaurant & Spa,"₹ 5,264",YES,North Goa,"This 3 Star Homestay in Goa is located in North Goa. Full Address of property is Siolim, Morjim,  Near Chopdem Fish Market, Chopdem Pernemm Goa. View On Map This Homestay have 4.3 Out of 5 Rating where  4.8/5 for Hospitality &  4.5/5 for Room &  4.4/5 for Location . Key amenities of this property are Living Room & Free Wi-Fi & Power Backup. "
57,Mori by the sea |Villa and Cottages,"₹ 7,182",YES,Morjim | 2-3 minutes walk from Morjim Beach,"Location of the Villa is Morjim View On Map (House no. 423/C Vithaldas Vaddo, pernem morjim Goa 403512). It’s a 3 Star Villa with overall Rating 4.4 Out of 5 where  4.6/5 for Check-in Experience &  4.5/5 for Location &  4.4/5 for Washroom cleanliness . Top Facilities of this Villa are Caretaker & Living Room & Cafe. "
58,Costa De Calangute Inn | Rooms & Cafe,"₹ 1,534",YES,Calangute | 5-6 minutes walk from Calangute Beach,"This 3 Star Homestay in Goa is located in Calangute. Full Address of property is H. No:5/83B, Maddo Vaddo, Calangute, Goa View On Map This Homestay have 4.0 Out of 5 Rating where  4.3/5 for Check-in Experience &  4.2/5 for Location &  4.2/5 for Host . Key amenities of this property are Power Backup & Free Parking & Elevator/Lift. "
59,LUISA APPARTMENT AND VILLAS NEAR TO BEACH,"₹ 1,935",NO,Cavelossim | 2-3 minutes walk from Cavelossim Beach,Location of the Apart-hotel is Cavelossim View On Map (luisa by the sea complex). Top Facilities of this Apart-hotel are Free Parking & Housekeeping & Air Conditioning.
60,Monteiro Towers,₹ 876,YES,Candolim | 680 m from Candolim Beach,"Full Address of property is Anna Vaddo Road, Gauravaddo, Candolim, Goa, India View On Map Key amenities of this property are Caretaker & Free Wi-Fi & Power Backup. "
61,The Boho Goa,"₹ 2,511",YES,Vagator | 2.7 km from Vagator Beach,Location of the Apart-hotel is Vagator View On Map (Plot no. 7/65 anjuna bardez goa 403509). Top Facilities of this Apart-hotel are Caretaker & Power Backup & Tours and Treks.
62,Baga Cottage - 2 Min Walk To Baga Beach,"₹ 2,013",YES,Baga | 4-5 minutes walk from Baga Beach,"This 3 Star Cottage in Goa is located in Baga. Full Address of property is Calangute - Baga Rd, Baga, Goa  View On Map This Cottage have 3.6 Out of 5 Rating where  4.5/5 for Host &  4.2/5 for Location &  4.2/5 for Check-in Experience . Key amenities of this property are Caretaker & Power Backup & Housekeeping. "
63,Whoopers Boutique Anjuna Goa,"₹ 2,142",YES,Anjuna | 720 m from Anjuna Beach,"Location of the Apart-hotel is Anjuna View On Map (Chappel Rd, Monteiro Vaddo,  Anjuna, Goa). Top Facilities of this Apart-hotel are Caretaker & Power Backup & Free Parking. "
64,Hotel Sea Shore Beach Resort,"₹ 3,041",YES,Calangute | 2-3 minutes walk from Calangute Beach,"Full Address of property is H.NO. 5/212C, UMTA VADDO, CALANGUTE, BARDEZ , GOA View On Map This Apart-hotel have 2.8 Out of 5 Rating where  4.4/5 for Location &  3.4/5 for Amenities &  2.6/5 for Value for Money . Key amenities of this property are Caretaker & Living Room & Power Backup. "
65,Le Pension Stays | Marine Studios Villa,"₹ 2,159",YES,Candolim | 5-6 minutes walk from Candolim Beach,"Location of the Villa is Candolim View On Map (Survey no. 204, Sub divisionno.. 0 at Aradi, Candolim, Bardez-Goa). It’s a 3 Star Villa with overall Rating 3.9 Out of 5 where  4.7/5 for Caretaker &  4.7/5 for Washroom cleanliness &  4.6/5 for Linen cleanliness . Top Facilities of this Villa are Caretaker & Air Conditioning & Safe. "
66,"HideAway, Parra STU","₹ 3,414",YES,North Goa,"This 3 Star Apartment in Goa is located in North Goa. Full Address of property is El Raso, Near Parra Ground, House 102, Goa 403510 View On Map This Apartment have 4.3 Out of 5 Rating where  5.0/5 for Cleanliness &  5.0/5 for Check-in Experience &  4.6/5 for Location . Key amenities of this property are Caretaker & Power Backup & Washing Machine. "
67,Nirvana Hill Resort,"₹ 3,856",YES,Margao,"Location of the Tree house is Margao View On Map (472/B, near Curtorim lake, Covatim, Curtorim, Salcete, Goa. 403709.). It’s a 3 Star Tree house with overall Rating 4.3 Out of 5 where  5.0/5 for Location &  5.0/5 for Amenities &  5.0/5 for Cleanliness . Top Facilities of this Tree house are EV Charging Station & Cafe & Lawn. "
68,Smiley Holidays,"₹ 1,555",YES,Calangute | 1.5 km from Calangute Beach,"Full Address of property is Behind Neelam Glitz , the right after calangute post Office Naikawaddo Calangute Goa 403516 View On Map This Apartment have 3.1 Out of 5 Rating where  5.0/5 for Kitchen &  3.5/5 for Location &  3.3/5 for Room . Key amenities of this property are Living Room & Free Wi-Fi & Tours and Treks. "
69,Cosy 2 BHK in the heart of Baga New,"₹ 16,263",NO,Baga | 4-5 minutes walk from Baga Beach,This 5 Star Apartment in Goa is located in Baga. Full Address of property is Titos Lane Baga View On Map Key amenities of this property are Air Conditioning.
70,2 BHK Sukoon Home in Monarch Palms,"₹ 3,247",YES,Candolim | 1.1 km from Candolim Beach,"Location of the Apartment is Candolim View On Map (Flat no.104, C Wing, 2nd Floor, Monarch Palms, Candolim). It’s a 3 Star Apartment with overall Rating 4.8 Out of 5 where  4.8/5 for Location &  4.8/5 for Check-in Experience &  4.4/5 for Amenities . Top Facilities of this Apartment are Caretaker & Living Room & Power Backup. "
71,Super Luxurious 1bhk with Pool & Gym @ Calangute,"₹ 2,200",YES,Calangute | 2.3 km from Calangute Beach,"This 3 Star Apartment in Goa is located in Calangute. Full Address of property is 2/269A/BL-B/GF/2,FLAT NO G 005 G2(B) CALANGUTE 403516, LANDMARK NAIKA VADDO View On Map Key amenities of this property are Power Backup & Free Parking & Washing Machine. "
72,Sundaze Guesthouse | Rooms & Caretaker,"₹ 1,396",NO,Panjim,"Location of the Homestay is Panjim View On Map (St. Marys colony, , near Stella Maris chapel, Miramar. Goa. 403001). Top Facilities of this Homestay are Caretaker & Free Wi-Fi & Power Backup. "
73,The Amrit Goa Villa | Rooms & Pool,"₹ 4,806",NO,Candolim | 4-5 minutes walk from Candolim Beach,"This 3 Star Villa in Goa is located in Candolim. Full Address of property is 961, The Amrit Goa, Candolim - Bardez, Goa, India, 403515 View On Map Key amenities of this property are Caretaker & Lawn & Safe. "
