,name,price,couple-friendly,location,description
0,Majestic Eco Comforts | Rooms & Wi-Fi,"₹ 1,904",YES,Varca Beach | 4-5 minutes walk from Varca Beach,"Full Address of property is 613/D, Pedda Nomeio Varca, Before Sterlings Varca, Near Zuri white Sand Resort , South Goa 403721. View On Map This Cottage have 4.5 Out of 5 Rating where  4.7/5 for Host responsiveness &  4.6/5 for Cleanliness &  4.6/5 for Check-in Experience . Key amenities of this property are Living Room & Cafe & Power Backup. "
1,Agonda Shell Beach Resort | Rooms & Guided Treks,"₹ 2,876",YES,Agonda | 4-5 minutes walk from Agonda Beach,"Location of the Cottage is Agonda View On Map (H. No 389/4, Vall, Tambdem, Agonda Beach). It’s a 3 Star Cottage with overall Rating 3.7 Out of 5 where  4.2/5 for Location &  3.9/5 for Check-in Experience &  3.9/5 for Host responsiveness . Top Facilities of this Cottage are Tours and Treks & Cafe & Power Backup. "
2,Little India Beach Cottages | Rooms & Wi-Fi,"₹ 3,279",NO,Calangute | 2-3 minutes walk from Calangute Beach,"This 3 Star Cottage in Goa is located in Calangute. Full Address of property is Behind Farenhite hotel, Villa Goesa rd, Khobravaddo, Calangute Baga, North Goa View On Map This Cottage have 4.1 Out of 5 Rating where  4.6/5 for Location &  4.3/5 for Caretaker &  4.3/5 for Kitchen . Key amenities of this property are Power Backup & Free Wi-Fi & Restaurant. "
3,Majestic Beach Comforts-Beachfront,"₹ 3,173",YES,Varca Beach | 7-8 minutes walk from Varca Beach,"Location of the Cottage is Varca Beach View On Map (Pedda , Uttordoxshi , Varca Beach Road  , Varca South Goa.). Top Facilities of this Cottage are Cafe & Power Backup & Free Wi-Fi. "
4,ABBIS Nest,₹ 852,NO,Calangute | 5-6 minutes walk from Calangute Beach,Full Address of property is Tivai Beach Road 534 Tivai Vaddo Calangute View On Map This Homestay have 3.2 Out of 5 Rating where  3.7/5 for Value for Money &  3.6/5 for Location &  3.6/5 for Food . Key amenities of this property are Housekeeping & Air Conditioning.
5,Arudra @ Cisco's Beach Shack,"₹ 3,243",NO,Baga | 2-3 minutes walk from Baga Beach,"Location of the Cottage is Baga View On Map (247/17, Saunta Vaddo, Baga Beach, Goa, 403 516). It’s a 3 Star Cottage with overall Rating 3.9 Out of 5 where  4.7/5 for Kitchen &  4.7/5 for Food &  4.5/5 for Caretaker . Top Facilities of this Cottage are Power Backup & Housekeeping & Air Conditioning. "
6,Makarios Boutique Hotel|Poolside Rooms,"₹ 1,480",NO,Calangute | 1.1 km from Baga Beach,"This 3 Star Homestay in Goa is located in Calangute. Full Address of property is H.NO.6/197/D, KHOBRA VADDO, CALANGUTE,GOA, North Goa, Goa, 403516 View On Map This Homestay have 4.2 Out of 5 Rating where  4.5/5 for Check-in Experience &  4.5/5 for Host &  4.5/5 for Food . Key amenities of this property are Power Backup & Housekeeping & Paid Airport Transfers. "
7,Riviera Hermitage,"₹ 2,249",YES,Arpora,"Location of the Apartment is Arpora View On Map (Riviera Hermitage, Double Tree By Hilton Compound, Anjuna Beach Road, Arpora, Anjuna, Goa). It’s a 3 Star Apartment with overall Rating 4.3 Out of 5 where  4.5/5 for Kitchen &  4.4/5 for Location &  4.4/5 for Washroom cleanliness . Top Facilities of this Apartment are Caretaker & Living Room & Balcony/Terrace. "
8,Amigos Candolim Beach,"₹ 1,870",YES,Candolim | 870 m from Candolim Beach,"This 3 Star Apart-hotel in Goa is located in Candolim. Full Address of property is 20/1 Bamon Vaddo, Candolim, Bardez, View On Map This Apart-hotel have 4.1 Out of 5 Rating where  5.0/5 for Hospitality &  4.6/5 for Room &  4.6/5 for Child friendliness . Key amenities of this property are Power Backup & Free Parking & Balcony/Terrace. "
9,Ivy Retreat Apartments,"₹ 2,689",YES,Calangute | 750 m from Calangute Beach,Location of the Apartment is Calangute View On Map (Ivy retreat  Baga village calngute Bardez goa). It’s a 3 Star Apartment with overall Rating 3.9 Out of 5 where  4.1/5 for Location &  4.1/5 for Caretaker &  4.1/5 for Kitchen . Top Facilities of this Apartment are Caretaker & Living Room & Free Wi-Fi.
10,Doris Beach House,"₹ 1,138",NO,Calangute | 4-5 minutes walk from Calangute Beach,"Full Address of property is maddo vaddo  Calangute, Goa 403519, India    near by  ronz vista paria .   View On Map This Homestay have 3.3 Out of 5 Rating where  3.5/5 for Location &  3.4/5 for Check-in Experience &  3.3/5 for Host responsiveness . Key amenities of this property are Caretaker & Housekeeping & Air Conditioning. "
11,The Eternal Wave | Apartment Units,"₹ 3,028",NO,Calangute | 1.1 km from Calangute Beach,"Location of the Apartment is Calangute View On Map (Eternal wave, 227, Porbo Vaddo, Calangute, Bardez). It’s a 4 Star Apartment with overall Rating 4.0 Out of 5 where  4.3/5 for Location &  4.1/5 for Room &  4.0/5 for Cleanliness . Top Facilities of this Apartment are Living Room & Free Wi-Fi & Power Backup. "
12,Prachi Holidays Home | Rooms & Kitchen,"₹ 1,419",YES,Calangute | 1.5 km from Calangute Beach,Full Address of property is Naika Vaddo Calangute View On Map This Apartment have 2.7 Out of 5 Rating where  4.3/5 for Hospitality &  3.6/5 for Location &  3.5/5 for Child friendliness . Key amenities of this property are Caretaker & Tours and Treks & Balcony/Terrace.
13,Woodside Retreat,"₹ 2,373",YES,Baga | 1.7 km from Baga Beach,"Location of the Apartment is Baga View On Map (526, near to old m'ckiys market road Baga-Arpora Beach Road,Arpora,Goa). Top Facilities of this Apartment are Caretaker & Living Room & Free Wi-Fi. "
