web-scraper-order,web-scraper-start-url,Name,Description,More,More-href
"1682619270-216","https://www.goa.gov.in/what_to_see/temples/","Shanta Durga Temple","","Learn More","https://www.goa.gov.in/places/shanta-durga-temple/"
"1682619270-217","https://www.goa.gov.in/what_to_see/temples/","Shri Gopal Ganapati Temple (Farmagudi)","","Learn More","https://www.goa.gov.in/places/shri-gopal-ganapati-temple-farmagudi/"
"1682619270-218","https://www.goa.gov.in/what_to_see/temples/","Kamakshi Saunsthan Temple","","Learn More","https://www.goa.gov.in/places/kamakshi-saunsthan-temple/"
"1682619270-219","https://www.goa.gov.in/what_to_see/temples/","Shri Rudreshwar Temple","","Learn More","https://www.goa.gov.in/places/shri-rudreshwar-temple/"
"1682619270-220","https://www.goa.gov.in/what_to_see/temples/","The Lairai Mandir","","Learn More","https://www.goa.gov.in/places/the-lairai-mandir/"
"1682619270-221","https://www.goa.gov.in/what_to_see/temples/","Shri Sapteshwar Bhagvati Temple","","Learn More","https://www.goa.gov.in/places/shri-sapteshwar-bhagvati-temple/"
"1682619270-222","https://www.goa.gov.in/what_to_see/temples/","Shri Navdurga Saunsthan","","Learn More","https://www.goa.gov.in/places/shri-navdurga-saunsthan/"
"1682619270-223","https://www.goa.gov.in/what_to_see/temples/","Shri Datta Mandir","","Learn More","https://www.goa.gov.in/places/shri-datta-mandir/"
"1682619270-224","https://www.goa.gov.in/what_to_see/temples/","Maha Ganapati Temple","","Learn More","https://www.goa.gov.in/places/maha-ganapati-temple/"
"1682619270-225","https://www.goa.gov.in/what_to_see/temples/","Shri Vitthal Mandir","","Learn More","https://www.goa.gov.in/places/shri-vitthal-mandir/"
"1682619270-226","https://www.goa.gov.in/what_to_see/temples/","Mahadeva Temple Tambdi Surla","","Learn More","https://www.goa.gov.in/places/tambdi-surla-temple/"
"1682619270-227","https://www.goa.gov.in/what_to_see/temples/","Shri Chandranath Temple","","Learn More","https://www.goa.gov.in/places/shree-chandranath/"
"1682619270-228","https://www.goa.gov.in/what_to_see/temples/","","","Learn More","https://www.goa.gov.in/places/brahma-temple/"
"1682619270-229","https://www.goa.gov.in/what_to_see/temples/","Shri Vasudevanand Saraswati Datta Mandir","","Learn More","https://www.goa.gov.in/places/shree-vasudevanand-saraswati-datta-mandir/"
"1682619270-230","https://www.goa.gov.in/what_to_see/temples/","Shantadurga (Sangodkarin) Temple","","Learn More","https://www.goa.gov.in/places/shree-shantadurga-sangodkarin-temple/"
"1682619270-231","https://www.goa.gov.in/what_to_see/temples/","Bhagwati Devi Temple","","Learn More","https://www.goa.gov.in/places/shree-bhagavati/"
"1682619270-232","https://www.goa.gov.in/what_to_see/temples/","Saptakoteshwar Temple","The Saptakoteshwar temple at Narve is considered to be one of the six great sites of temples of Lord Shiva in the Konkan area","Learn More","https://www.goa.gov.in/places/saptakoteshwar-temple/"
"1682619270-233","https://www.goa.gov.in/what_to_see/temples/","Ramnath Temple, Bandivade","","Learn More","https://www.goa.gov.in/places/ramnath-temple-bandivade/"
"1682619270-234","https://www.goa.gov.in/what_to_see/temples/","Shree Nagesh Mandir","","Learn More","https://www.goa.gov.in/places/naguesh-temple/"
"1682619270-235","https://www.goa.gov.in/what_to_see/temples/","Mangueshi Temple","","Learn More","https://www.goa.gov.in/places/mangueshi-temple/"
"1682619270-236","https://www.goa.gov.in/what_to_see/temples/","Mallikarjun Temple","","Learn More","https://www.goa.gov.in/places/mallikarjun-temple/"
"1682619270-237","https://www.goa.gov.in/what_to_see/temples/","Mahalaxmi Temple, Panaji","","Learn More","https://www.goa.gov.in/places/mahalaxmi-temple-panaji/"
"1682619270-238","https://www.goa.gov.in/what_to_see/temples/","Mahalaxmi Temple, Bandivade","","Learn More","https://www.goa.gov.in/places/mahalaxmi-temple-bandivade/"
"1682619270-239","https://www.goa.gov.in/what_to_see/temples/","Madanant Temple","","Learn More","https://www.goa.gov.in/places/anant-temple/"
"1682619270-240","https://www.goa.gov.in/what_to_see/temples/","Mahalasa Temple","","Learn More","https://www.goa.gov.in/places/mahalsa-temple/"
"1682619270-241","https://www.goa.gov.in/what_to_see/temples/","Devki Krishna","","Learn More","https://www.goa.gov.in/places/devki-krishna-temple/"
