web-scraper-order,web-scraper-start-url,Name,Description,More,More-href
"1682619302-242","https://www.goa.gov.in/what_to_see/towns/","Panaji","","Learn More","https://www.goa.gov.in/places/panaji-also-known-as-panjim/"
"1682619302-243","https://www.goa.gov.in/what_to_see/towns/","Margao","","Learn More","https://www.goa.gov.in/places/margao/"
"1682619302-244","https://www.goa.gov.in/what_to_see/towns/","Ponda","","Learn More","https://www.goa.gov.in/places/ponda/"
"1682619302-245","https://www.goa.gov.in/what_to_see/towns/","Mapusa","","Learn More","https://www.goa.gov.in/places/mapusa/"
"1682619302-246","https://www.goa.gov.in/what_to_see/towns/","Vasco","","Learn More","https://www.goa.gov.in/places/vasco/"
