web-scraper-order,web-scraper-start-url,Name,Description,More,More-href
"1682618967-186","https://www.goa.gov.in/what_to_see/heritage-mansions/","Colaco Mansion","","Learn More","https://www.goa.gov.in/places/colaco-mansion/"
"1682618967-187","https://www.goa.gov.in/what_to_see/heritage-mansions/","Palacio do Deao","","Learn More","https://www.goa.gov.in/places/palacio-do-deao/"
"1682618967-188","https://www.goa.gov.in/what_to_see/heritage-mansions/","Braganza House","","Learn More","https://www.goa.gov.in/places/braganza-house/"
"1682618967-189","https://www.goa.gov.in/what_to_see/heritage-mansions/","Vivian Coutinho Mansion","","Learn More","https://www.goa.gov.in/places/vivian-coutinho-mansion/"
"1682618967-190","https://www.goa.gov.in/what_to_see/heritage-mansions/","Fernandes House","","Learn More","https://www.goa.gov.in/places/fernandes-house/"
"1682618967-191","https://www.goa.gov.in/what_to_see/heritage-mansions/","Mascarenhas Mansion","","Learn More","https://www.goa.gov.in/places/mascarenhas-mansion/"
"1682618967-192","https://www.goa.gov.in/what_to_see/heritage-mansions/","Solar dos Colacos Mansion","","Learn More","https://www.goa.gov.in/places/solar-dos-colacos-mansion/"
"1682618967-193","https://www.goa.gov.in/what_to_see/heritage-mansions/","Salvador Costa Mansion","","Learn More","https://www.goa.gov.in/places/salvador-costa-mansion/"
"1682618967-194","https://www.goa.gov.in/what_to_see/heritage-mansions/","Adil Shah's Palace","","Learn More","https://www.goa.gov.in/places/adil-shahs-palace/"
