web-scraper-order,web-scraper-start-url,Package Detail,Package,Price,No Of Person,Number of Days,Start Date
1682541800-101,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa,"15 Day Yoga and Spa Retreat in Sernabatim Beach, Goa",Instructed in English,"Rs. 354,724",1 person,15 days,• Multiple starting dates
1682541800-102,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa,7 Day Rejuvenation Detox Ayurveda Retreat with Yoga and Meditation in Goa,"Instructed in English
All meals included
Vegetarian friendly","Rs. 75,000",1 person,7 days,• Multiple starting dates
1682541800-103,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa,"11 Day Panchakarma Detox Retreat in Sernabatim Beach, Goa","Airport transfer available
Instructed in English
Vegetarian friendly","Rs. 228,907",1 person,11 days,• Multiple starting dates
1682541800-104,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa,"7 Day Wellness and Rejuvenation Retreat with Yoga, Ayurvedic Massages, and Meditation in Goa","Airport transfer available
Instructed in English
All meals included
Vegetarian friendly","Rs. 27,074",1 person,7 days,• Multiple starting dates
1682541800-105,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa,"8 Day Ayurvedic Indian Detox Retreat in Sernabatim Beach, Goa","Airport transfer available
Instructed in English
Vegetarian friendly","Rs. 196,942",1 person,8 days,• Multiple starting dates
1682541800-106,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa,"7 Day Basti Panchakarma Ayurveda Detox, Meditation, and Yoga Retreat in Goa","Airport transfer available
Instructed in English
All meals included","Rs. 58,660",1 person,7 days,• Available all year
1682541800-107,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa,8 Day Yoga Retreat at the Beach in South Goa,"Airport transfer available
Instructed in English","Rs. 63,082",1 person,8 days,• Multiple starting dates
1682541800-108,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa,"7 Day Virechana Ayurveda Panchakarma Detox, Meditation, and Yoga Retreat in Goa","Airport transfer available
Instructed in English
All meals included","Rs. 49,636",1 person,7 days,• Available all year
1682541800-109,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa,"8 Day Total Body Rebalancing and Rejuvenation Retreat in Sernabatim Beach, Goa","Airport transfer available
Instructed in English
Vegetarian friendly","Rs. 216,562",1 person,8 days,• Multiple starting dates
1682541800-110,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa,"15 Day Ayurveda Panchakarma Retreat in Arambol, Goa","Airport transfer included
Instructed in English
All meals included","Rs. 210,000",1 person,15 days,• Available all year
1682541800-111,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa,15 Day Yoga Retreat at the beach in South Goa,"Airport transfer available
Instructed in English","Rs. 117,230",1 person,15 days,• Multiple starting dates
1682541800-112,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa,"6 Day Weight Management Retreat with Ayurveda Support in Sernabatim Beach, Goa","Instructed in English
Vegetarian friendly","Rs. 148,708",1 person,6 days,• Multiple starting dates
1682541873-113,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=2,"8 Day Weight Management Retreat with Ayurveda Support in Sernabatim Beach, Goa","Instructed in English
Vegetarian friendly","Rs. 196,942",1 person,8 days,• Multiple starting dates
1682541873-114,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=2,"8 Day Transformational Meditation Retreat in Sernabatim Beach, Goa","Airport transfer available
Instructed in English
Vegetarian friendly","Rs. 145,519",1 person,8 days,• Multiple starting dates
1682541873-115,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=2,"6 Day Yoga and Spa Retreat in Sernabatim Beach, Goa",Instructed in English,"Rs. 148,708",1 person,6 days,• Multiple starting dates
1682541873-116,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=2,"8 Day Yoga and Spa Retreat in Sernabatim Beach, Goa",Instructed in English,"Rs. 196,942",1 person,8 days,• Multiple starting dates
1682541873-117,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=2,"15 Day Yoga and Spa Retreat in Sernabatim Beach, Goa",Instructed in English,"Rs. 354,724",1 person,15 days,• Multiple starting dates
1682541873-118,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=2,"11 Day Ayurvedic Indian Detox Retreat in Sernabatim Beach, Goa","Airport transfer available
Instructed in English
Vegetarian friendly","Rs. 266,513",1 person,11 days,• Multiple starting dates
1682541873-119,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=2,"11 Day Total Body Rebalancing and Rejuvenation Retreat in Sernabatim Beach, Goa","Airport transfer available
Instructed in English
Vegetarian friendly","Rs. 282,863",1 person,11 days,• Multiple starting dates
1682541873-120,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=2,"11 Day Yoga and Spa Retreat in Sernabatim Beach, Goa",Instructed in English,"Rs. 266,513",1 person,11 days,• Multiple starting dates
1682541873-121,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=2,"15 Day Total Body Rebalancing and Rejuvenation Retreat in Sernabatim Beach, Goa","Airport transfer available
Instructed in English
Vegetarian friendly","Rs. 378,432",1 person,15 days,• Multiple starting dates
1682541873-122,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=2,"6 Day Total Body Rebalance Retreat in Sernabatim Beach, Goa","Instructed in English
Vegetarian friendly","Rs. 162,687",1 person,6 days,• Multiple starting dates
1682541873-123,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=2,"15 Day Panchakarma Detox Retreat in Sernabatim Beach, Goa","Airport transfer available
Instructed in English
Vegetarian friendly","Rs. 294,309",1 person,15 days,• Multiple starting dates
1682541873-124,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=2,"6 Day Ayurvedic Indian Detox Retreat in Sernabatim Beach, Goa","Airport transfer available
Instructed in English
Vegetarian friendly","Rs. 148,708",1 person,6 days,• Multiple starting dates
1682541894-125,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=3,6 Day Juice Detox and Yoga Retreat in Goa,"Instructed in English
All meals included
Vegetarian friendly","Rs. 123,364",1 person,5 days,• Multiple starting dates
1682541894-126,https://www.bookyogaretreats.com/all/c/ayurveda-yoga-retreats/d/asia-and-oceania/india/goa?page=3,"10 Day Ayurveda Retreat with Vamana Therapy, Detox, Meditation, and Yoga in Goa","Airport transfer available
Instructed in English
All meals included","Rs. 72,197",1 person,10 days,• Available all year
