web-scraper-order,web-scraper-start-url,Name,Description,More,More-href
"1682619037-195","https://www.goa.gov.in/what_to_see/mosques/","Surla Taar Mosque","","Learn More","https://www.goa.gov.in/places/surla-taar-mosque/"
"1682619037-196","https://www.goa.gov.in/what_to_see/mosques/","Jama Masjid","","Learn More","https://www.goa.gov.in/places/jama-masjid-mosques/"
"1682619037-197","https://www.goa.gov.in/what_to_see/mosques/","Namazgah","","Learn More","https://www.goa.gov.in/places/namazgah-mosques/"
"1682619037-198","https://www.goa.gov.in/what_to_see/mosques/","Safa Masjid","","Learn More","https://www.goa.gov.in/places/safa-masjid-mosques/"
