web-scraper-order,web-scraper-start-url,Name,Description,More,More-href
"1682619089-199","https://www.goa.gov.in/what_to_see/museums/","The Indian Customs and Central Excise Museum","","Learn More","https://www.goa.gov.in/places/the-indian-customs-and-central-excise-museum/"
"1682619089-200","https://www.goa.gov.in/what_to_see/museums/","Museum of Goa","","Learn More","https://www.goa.gov.in/places/museum-of-goa/"
"1682619089-201","https://www.goa.gov.in/what_to_see/museums/","Ancestral Goa","","Learn More","https://www.goa.gov.in/places/ancestral-goa-a-glimpse-into-goa-of-the-past/"
"1682619089-202","https://www.goa.gov.in/what_to_see/museums/","Wax World Museum Goa","","Learn More","https://www.goa.gov.in/places/wax-world-museum/"
"1682619089-203","https://www.goa.gov.in/what_to_see/museums/","Naval Aviation Museum","","Learn More","https://www.goa.gov.in/places/naval-aviation-museum/"
"1682619089-204","https://www.goa.gov.in/what_to_see/museums/","Three Kings Heritage Village","","Learn More","https://www.goa.gov.in/places/three-kings-heritage-village/"
"1682619089-205","https://www.goa.gov.in/what_to_see/museums/","Goa Chitra Museum","","Learn More","https://www.goa.gov.in/places/goa-chitra/"
"1682619089-206","https://www.goa.gov.in/what_to_see/museums/","Pilar Mission Seminary Museum","","Learn More","https://www.goa.gov.in/places/pilar-museum-goa-velha/"
"1682619089-207","https://www.goa.gov.in/what_to_see/museums/","State Archaeology Museum, Panaji","","Learn More","https://www.goa.gov.in/places/state-archaeology-museum-panaji/"
"1682619089-208","https://www.goa.gov.in/what_to_see/museums/","Christian Art Museum, Old Goa","","Learn More","https://www.goa.gov.in/places/christian-art-museum-old-goa/"
